Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
198.12.37.6:8080,HTTP,Argentina,AR,🇦🇷,0,low,No,Servicios y Telecomunicaciones S.A,8394
181.14.210.237:8080,HTTP,Argentina,AR,🇦🇷,0,low,No,Telecom Argentina S.A.,11182
190.111.218.139:999,HTTP,Argentina,AR,🇦🇷,0,low,No,CPS,9126
181.209.59.182:999,HTTP,Argentina,AR,🇦🇷,0,low,No,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,7655
187.102.219.34:999,HTTP,Argentina,AR,🇦🇷,0,low,No,Cretton Lisandro Maximiliano,1571
187.102.219.42:999,HTTP,Argentina,AR,🇦🇷,0,low,No,Cretton Lisandro Maximiliano,5565
187.102.219.42:999,HTTP,Argentina,AR,🇦🇷,0,low,No,Cretton Lisandro Maximiliano,6523
138.117.14.237:9090,HTTP,Argentina,AR,🇦🇷,0,low,No,Level Seven SRL,13111
201.190.178.191:8080,HTTP,Argentina,AR,🇦🇷,0,low,No,Arlink S.A.,17707
190.111.218.141:999,HTTP,Argentina,AR,🇦🇷,1,low,No,CPS,15177
200.70.35.2:8080,HTTP,Argentina,AR,🇦🇷,1,low,No,Telefonica de Argentina,11119
186.123.26.22:8080,HTTP,Argentina,AR,🇦🇷,2,low,No,Techtel LMDS Comunicaciones Interactivas S.A.,9011
