Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.199.83.239:8080,HTTP,Australia,AU,🇦🇺,0,low,No,Gippsland Wifi Pty Ltd,2029,Yes,390.2,8/8
15.135.215.62:35055,HTTP,Australia,AU,🇦🇺,0,low,No,"Amazon.com, Inc.",2668,No,,0/8
16.26.208.68:10240,HTTP,Australia,AU,🇦🇺,0,low,No,"Amazon.com, Inc.",3924,No,,0/8
13.239.253.213:21473,HTTP,Australia,AU,🇦🇺,3,low,No,Amazon Technologies Inc.,2895,Not Checked,,
54.206.129.120:9410,HTTP,Australia,AU,🇦🇺,6,low,No,"Amazon.com, Inc.",2286,Not Checked,,
54.206.129.120:57073,HTTP,Australia,AU,🇦🇺,6,low,No,"Amazon.com, Inc.",2276,Not Checked,,
54.206.129.120:32820,HTTP,Australia,AU,🇦🇺,6,low,No,"Amazon.com, Inc.",2258,Not Checked,,
54.206.129.120:47105,HTTP,Australia,AU,🇦🇺,6,low,No,"Amazon.com, Inc.",2269,Not Checked,,
54.206.129.120:9002,HTTP,Australia,AU,🇦🇺,6,low,No,"Amazon.com, Inc.",2280,Not Checked,,
54.206.129.120:54447,HTTP,Australia,AU,🇦🇺,6,low,No,"Amazon.com, Inc.",2852,Not Checked,,
