Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.138.123.196:8090,HTTP,Bangladesh,BD,🇧🇩,0,low,No,CAFE,3799,Yes,244.1,8/8
182.252.89.130:8080,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Agni Systems Limited,6524,Yes,266.8,8/8
103.150.64.69:8090,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Windstream Communication Limited,6187,Yes,270.2,8/8
103.150.64.69:8090,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Windstream Communication Limited,3118,Yes,280.7,8/8
27.147.177.74:8158,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Link3 Technologies Limited,3406,No,,0/8
27.147.177.74:8158,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Link3 Technologies Limited,2824,No,,0/8
45.115.114.41:2379,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Drik ICT Ltd,10516,Not Checked,,
103.54.43.131:8080,HTTP,Bangladesh,BD,🇧🇩,0,low,No,THE NET HEADS,10034,Not Checked,,
27.147.138.166:8158,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Link3 Technologies Limited,15521,Not Checked,,
103.141.174.38:11411,HTTP,Bangladesh,BD,🇧🇩,0,low,No,ICC Communication Ltd,11717,Not Checked,,
203.76.220.126:16464,HTTP,Bangladesh,BD,🇧🇩,0,low,No,BUSINESSNETWORK,17382,Not Checked,,
103.133.200.72:8080,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Antaranga Networks,10272,Not Checked,,
103.93.141.249:8080,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Orange Communication,8159,Not Checked,,
144.48.163.104:8080,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Cue Club Technology,9296,Not Checked,,
103.109.96.180:6321,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Digi Jadoo Broadband Ltd,10940,Not Checked,,
103.109.96.180:6321,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Digi Jadoo Broadband Ltd,7337,Not Checked,,
118.179.219.131:81,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Amber IT Limited,14124,Not Checked,,
114.130.153.46:58080,HTTP,Bangladesh,BD,🇧🇩,0,low,No,Bangladesh Telegraph & Telephone Board,9297,Not Checked,,
203.76.117.226:8118,HTTP,Bangladesh,BD,🇧🇩,8,low,No,Link3 Technologies Limited,3903,Not Checked,,
