Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
200.229.76.160:3128,HTTP,Brazil,BR,🇧🇷,0,low,No,Saveincloud Hospedagem na Internet Ltda,1272,Yes,330.5,8/8
206.42.12.58:3132,HTTP,Brazil,BR,🇧🇷,0,low,No,Brisanet Prestacao De Servicos De Internet Ltda,4950,Yes,244.6,8/8
177.87.121.20:3128,HTTP,Brazil,BR,🇧🇷,0,low,No,Saveincloud Hospedagem na Internet Ltda,1630,Yes,314.7,8/8
200.229.76.160:3128,HTTP,Brazil,BR,🇧🇷,0,low,No,Saveincloud Hospedagem na Internet Ltda,1211,Yes,330.5,8/8
201.140.209.33:3128,HTTP,Brazil,BR,🇧🇷,0,low,No,Norte Line Telecomunicacoes Ltda.,16810,Not Checked,,
206.42.12.58:3132,HTTP,Brazil,BR,🇧🇷,0,low,No,Brisanet Prestacao De Servicos De Internet Ltda,9816,Not Checked,,
134.65.238.25:3129,HTTP,Brazil,BR,🇧🇷,2,low,No,Oracle Corporation,1159,Not Checked,,
179.185.75.94:8080,HTTP,Brazil,BR,🇧🇷,4,low,No,TELEFÔNICA BRASIL S.A,11758,Not Checked,,
138.122.140.194:3128,HTTP,Brazil,BR,🇧🇷,5,low,No,Netway Informatica Ltda,3735,Not Checked,,
177.20.167.139:8080,HTTP,Brazil,BR,🇧🇷,6,low,No,Zaaz Provedor De Internet E Telecomunicacoes Ltda,10618,Not Checked,,
143.208.152.62:3180,HTTP,Brazil,BR,🇧🇷,25,medium,No,Fibra Empresas Ltda,7586,Not Checked,,
