Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
40.176.175.23:20703,HTTP,Canada,CA,🇨🇦,3,low,No,"Amazon.com, Inc.",634,Not Checked,,
40.176.175.23:15864,HTTP,Canada,CA,🇨🇦,3,low,No,"Amazon.com, Inc.",416,Not Checked,,
40.176.175.23:8010,HTTP,Canada,CA,🇨🇦,3,low,No,"Amazon.com, Inc.",424,Not Checked,,
40.177.104.199:48047,HTTP,Canada,CA,🇨🇦,3,low,No,"Amazon.com, Inc.",2983,Not Checked,,
56.112.93.245:4906,HTTP,Canada,CA,🇨🇦,9,low,No,Amazon.com,1878,Not Checked,,
35.183.29.62:39726,HTTP,Canada,CA,🇨🇦,10,low,No,Amazon Technologies Inc.,712,Not Checked,,
15.223.187.219:45638,HTTP,Canada,CA,🇨🇦,10,low,No,Amazon Technologies Inc.,922,Not Checked,,
15.223.187.219:10803,HTTP,Canada,CA,🇨🇦,10,low,No,Amazon Technologies Inc.,927,Not Checked,,
54.39.28.106:8082,HTTP,Canada,CA,🇨🇦,37,medium,No,OVH SAS,12882,Not Checked,,
159.203.61.169:3128,HTTP,Canada,CA,🇨🇦,50,medium,Yes,"DigitalOcean, LLC",208,Not Checked,,
184.75.221.82:3118,HTTP,Canada,CA,🇨🇦,100,very_high,Yes,Amanah Tech Inc.,4346,Not Checked,,
184.75.221.82:3118,HTTP,Canada,CA,🇨🇦,100,very_high,Yes,Amanah Tech Inc.,1485,Not Checked,,
