Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
185.191.239.248:3128,HTTP,Switzerland,CH,🇨🇭,0,low,No,Geronimo Ramirez Computer Network,1822
185.191.239.248:3128,HTTP,Switzerland,CH,🇨🇭,0,low,No,Geronimo Ramirez Computer Network,8329
16.18.37.186:22518,HTTP,Switzerland,CH,🇨🇭,2,low,No,"Amazon.com, Inc.",2046
16.62.123.236:58373,HTTP,Switzerland,CH,🇨🇭,2,low,No,"Amazon.com, Inc.",982
16.62.123.236:1062,HTTP,Switzerland,CH,🇨🇭,2,low,No,"Amazon.com, Inc.",1755
16.18.37.186:40410,HTTP,Switzerland,CH,🇨🇭,2,low,No,"Amazon.com, Inc.",957
51.34.28.236:15116,HTTP,Switzerland,CH,🇨🇭,3,low,No,"Amazon.com, Inc.",932
51.34.28.236:8295,HTTP,Switzerland,CH,🇨🇭,3,low,No,"Amazon.com, Inc.",1255
51.34.28.236:7497,HTTP,Switzerland,CH,🇨🇭,3,low,No,"Amazon.com, Inc.",1164
51.96.146.123:9443,HTTP,Switzerland,CH,🇨🇭,3,low,No,"Amazon.com, Inc.",1362
