Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
204.199.139.36:999,HTTP,Chile,CL,🇨🇱,0,low,No,Ingbell Chile SPA,1114,Yes,275.9,8/8
45.225.204.8:999,HTTP,Chile,CL,🇨🇱,0,low,No,Netdelsur Telecomunicaciones SPA,14906,Not Checked,,
181.74.82.91:999,HTTP,Chile,CL,🇨🇱,0,low,No,Telmex Servicios Empresariales S.A.,10880,Not Checked,,
151.241.86.129:999,HTTP,Chile,CL,🇨🇱,0,low,No,Vallenet SPA,13360,Not Checked,,
179.49.237.12:999,HTTP,Chile,CL,🇨🇱,0,low,No,Sitelco SPA,14491,Not Checked,,
186.10.150.185:8080,HTTP,Chile,CL,🇨🇱,4,low,No,Entel Chile S.A.,16121,Not Checked,,
201.186.41.170:999,HTTP,Chile,CL,🇨🇱,5,low,No,Telefonica del Sur S.A.,9367,Not Checked,,
190.121.4.157:999,HTTP,Chile,CL,🇨🇱,5,low,No,Telefonica del Sur S.A.,9056,Not Checked,,
190.121.52.125:999,HTTP,Chile,CL,🇨🇱,5,low,No,Telefonica del Sur S.A.,12186,Not Checked,,
38.7.195.53:999,HTTP,Chile,CL,🇨🇱,61,high,No,Grupo ZGH SpA,5574,Not Checked,,
38.7.195.55:999,HTTP,Chile,CL,🇨🇱,61,high,No,Grupo ZGH SpA,10443,Not Checked,,
