Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
36.155.23.163:10808,HTTP,China,CN,🇨🇳,0,low,No,China Mobile Communications Corporation,3404,Yes,296.6,8/8
183.173.214.136:10808,HTTP,China,CN,🇨🇳,0,low,No,CERNET,2760,Yes,283.0,8/8
210.77.27.138:7890,HTTP,China,CN,🇨🇳,0,low,No,Chinese Science & Technology Network,6935,No,,0/8
39.102.214.192:3128,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8019,Not Checked,,
39.102.210.176:8008,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8062,Not Checked,,
47.92.152.43:443,HTTP,China,CN,🇨🇳,0,low,Yes,Hangzhou Alibaba Advertising Co,8048,Not Checked,,
39.104.27.89:9080,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8076,Not Checked,,
39.102.209.128:9080,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8229,Not Checked,,
39.102.209.128:8008,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8164,Not Checked,,
47.119.22.156:80,HTTP,China,CN,🇨🇳,0,low,No,Addresses CNNIC,7980,Not Checked,,
39.102.208.149:8090,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,7999,Not Checked,,
8.148.22.214:8080,HTTP,China,CN,🇨🇳,0,low,No,"Hangzhou Alibaba Advertising Co., Ltd.",8037,Not Checked,,
39.102.211.162:8081,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8031,Not Checked,,
39.102.208.23:80,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8019,Not Checked,,
8.130.90.177:8081,HTTP,China,CN,🇨🇳,0,low,No,"Hangzhou Alibaba Advertising Co., Ltd.",8067,Not Checked,,
47.105.122.72:80,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8013,Not Checked,,
39.102.209.163:8443,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8023,Not Checked,,
39.102.209.163:2022,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8028,Not Checked,,
39.102.208.236:34567,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8048,Not Checked,,
8.137.38.48:7890,HTTP,China,CN,🇨🇳,0,low,No,"Hangzhou Alibaba Advertising Co., Ltd.",8076,Not Checked,,
121.43.154.123:8085,HTTP,China,CN,🇨🇳,0,low,No,"Hangzhou Alibaba Advertising Co., Ltd.",7998,Not Checked,,
47.104.27.249:8001,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,8002,Not Checked,,
106.14.91.83:8443,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,7995,Not Checked,,
47.119.22.92:8081,HTTP,China,CN,🇨🇳,0,low,No,Addresses CNNIC,7990,Not Checked,,
106.14.104.220:5080,HTTP,China,CN,🇨🇳,0,low,No,Hangzhou Alibaba Advertising Co,7957,Not Checked,,
