Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
181.78.175.66:999,HTTP,Colombia,CO,🇨🇴,0,low,Yes,Ufinet Panama S.A.,1954,Yes,236.4,8/8
190.14.231.137:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Media Commerce Partners S.A,846,Yes,246.5,8/8
64.204.90.17:999,HTTP,Colombia,CO,🇨🇴,0,low,No,GTT Americas,3682,Yes,249.6,8/8
191.97.7.203:999,HTTP,Colombia,CO,🇨🇴,0,low,No,TV AZTECA SUCURSAL COLOMBIA,2973,Yes,258.0,8/8
181.78.79.11:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Ufinet Panama S.A.,6343,Yes,244.5,8/8
186.194.161.201:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Telenet Digital S.A.S,6292,Yes,256.7,8/8
190.60.61.50:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Ufinet Panama S.A.,1339,Yes,248.1,8/8
209.14.120.25:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Cogent Communications,5644,Yes,249.1,8/8
177.93.60.2:8080,HTTP,Colombia,CO,🇨🇴,0,low,No,TV AZTECA SUCURSAL COLOMBIA,6110,Yes,254.7,7/8
38.199.30.82:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Conexion Comercializacion De Servicios De Telecomunicaciones Empalmeria Y Construccion De Redes HFC Del SUR Colombia,3199,Yes,227.5,7/8
45.65.137.218:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Telecomunicaciones Del Catatumbo S.A.S,6511,No,,0/8
181.78.86.251:999,HTTP,Colombia,CO,🇨🇴,0,low,Yes,Ufinet Panama S.A.,9611,Not Checked,,
38.19.43.73:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Super Redes,13753,Not Checked,,
38.199.31.67:9992,HTTP,Colombia,CO,🇨🇴,0,low,No,Conexion Comercializacion De Servicios De Telecomunicaciones Empalmeria Y Construccion De Redes HFC Del SUR Colombia,10383,Not Checked,,
177.93.59.115:8080,HTTP,Colombia,CO,🇨🇴,0,low,No,TV AZTECA SUCURSAL COLOMBIA,10412,Not Checked,,
200.10.31.45:8081,HTTP,Colombia,CO,🇨🇴,0,low,No,Super Redes S.A.S,7790,Not Checked,,
38.199.30.82:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Conexion Comercializacion De Servicios De Telecomunicaciones Empalmeria Y Construccion De Redes HFC Del SUR Colombia,12285,Not Checked,,
45.65.138.48:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Telecomunicaciones Del Catatumbo S.A.S,12329,Not Checked,,
38.19.41.208:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Super Redes,9926,Not Checked,,
38.199.66.11:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Cogent Communications,11840,Not Checked,,
38.19.43.185:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Super Redes,13941,Not Checked,,
177.73.155.214:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Dobleclick Software E Ingeneria,12917,Not Checked,,
190.26.209.126:999,HTTP,Colombia,CO,🇨🇴,0,low,No,ETB - Colombia,12102,Not Checked,,
181.129.252.124:999,HTTP,Colombia,CO,🇨🇴,0,low,No,EPM Telecomunicaciones S.A. E.S.P.,16178,Not Checked,,
177.73.155.212:999,HTTP,Colombia,CO,🇨🇴,0,low,No,Dobleclick Software E Ingeneria,13602,Not Checked,,
200.118.238.71:8080,HTTP,Colombia,CO,🇨🇴,1,low,No,Telmex Colombia S.A.,3819,Not Checked,,
181.119.67.133:999,HTTP,Colombia,CO,🇨🇴,1,low,No,IFX Networks Argentina S.R.L,15506,Not Checked,,
179.1.196.133:999,HTTP,Colombia,CO,🇨🇴,3,low,No,Internexa S.a. E.S.P,8957,Not Checked,,
