Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
181.214.29.86:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,"TELERY NETWORKS, S.R.L",2094,Yes,215.1,8/8
185.27.144.74:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,Airtime Technology SRL,3128,Yes,209.6,7/8
38.156.238.24:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,"BITNET DOMINICANA, S.R.L",556,Timeout,,
217.76.245.80:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,"CENTRIC MOBILITY, S.R.L",510,Timeout,,
38.159.37.213:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,Orbitek SRL,14496,Not Checked,,
38.52.222.218:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,"TELECABLE DOMINICANO, S.A.",7500,Not Checked,,
38.156.238.32:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,"BITNET DOMINICANA, S.R.L",8588,Not Checked,,
38.156.23.250:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,Visnetwork SRL,10711,Not Checked,,
190.93.189.140:999,HTTP,Dominican Republic,DO,🇩🇴,0,low,No,Jose Digital Media Dominicana SRL,17096,Not Checked,,
38.75.82.215:999,HTTP,Dominican Republic,DO,🇩🇴,5,low,No,Cogent Communications,16655,Not Checked,,
38.75.82.219:999,HTTP,Dominican Republic,DO,🇩🇴,5,low,No,Cogent Communications,8583,Not Checked,,
