Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
186.33.45.219:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,10108,Yes,260.9,7/7
181.78.194.249:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,6644,Yes,258.6,7/7
177.234.217.84:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,9236,Yes,268.0,7/7
45.229.17.130:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Turbonet S.A.,6447,Yes,247.4,7/7
177.234.217.88:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,7021,No,,0/7
190.12.150.244:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Servitelconet Cia. Ltda.,12284,Not Checked,,
190.12.150.244:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Servitelconet Cia. Ltda.,15141,Not Checked,,
186.33.45.220:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,16258,Not Checked,,
177.234.217.46:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,15832,Not Checked,,
177.234.217.83:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,11830,Not Checked,,
200.24.152.222:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Negocios Y Telefonia Nedetel S.A,18507,Not Checked,,
177.234.217.45:999,HTTP,Ecuador,EC,🇪🇨,0,low,No,Ufinet Panama S.A.,15360,Not Checked,,
66.231.71.90:8080,HTTP,Ecuador,EC,🇪🇨,0,low,No,Cubotelecom Cia. Ltda.,11812,Not Checked,,
45.238.56.249:2010,HTTP,Ecuador,EC,🇪🇨,0,low,No,Instalacion De Sistemas EN Redes Insysred S.A.,24194,Not Checked,,
201.219.22.2:3128,HTTP,Ecuador,EC,🇪🇨,1,low,No,Corporacion Nacional De Telecomunicaciones - CNT EP,15903,Not Checked,,
