Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
85.85.187.31:8080,HTTP,Spain,ES,🇪🇸,0,low,No,Xtra Telecom S.A.,4944
85.85.187.31:8080,HTTP,Spain,ES,🇪🇸,0,low,No,Xtra Telecom S.A.,4378
15.217.107.97:57335,HTTP,Spain,ES,🇪🇸,2,low,No,"Amazon.com, Inc.",1243
15.217.214.40:23319,HTTP,Spain,ES,🇪🇸,2,low,No,"Amazon.com, Inc.",2162
15.217.107.97:18055,HTTP,Spain,ES,🇪🇸,2,low,No,"Amazon.com, Inc.",4399
51.92.173.133:34761,HTTP,Spain,ES,🇪🇸,3,low,No,"Amazon.com, Inc.",2499
51.92.173.133:30082,HTTP,Spain,ES,🇪🇸,3,low,No,"Amazon.com, Inc.",4244
51.92.173.133:1090,HTTP,Spain,ES,🇪🇸,3,low,No,"Amazon.com, Inc.",4550
51.94.221.175:26592,HTTP,Spain,ES,🇪🇸,3,low,No,"Amazon.com, Inc.",1257
51.92.173.133:8001,HTTP,Spain,ES,🇪🇸,3,low,No,"Amazon.com, Inc.",1548
51.92.173.133:21367,HTTP,Spain,ES,🇪🇸,3,low,No,"Amazon.com, Inc.",1557
15.216.14.119:52319,HTTP,Spain,ES,🇪🇸,13,low,No,Amazon.com,1570
51.48.117.219:3128,HTTP,Spain,ES,🇪🇸,22,medium,No,"Amazon.com, Inc.",1669
18.100.80.197:33050,HTTP,Spain,ES,🇪🇸,25,medium,No,Amazon Technologies Inc.,4618
18.100.80.197:2616,HTTP,Spain,ES,🇪🇸,25,medium,No,Amazon Technologies Inc.,1449
18.100.80.197:1083,HTTP,Spain,ES,🇪🇸,25,medium,No,Amazon Technologies Inc.,1572
18.100.80.197:10490,HTTP,Spain,ES,🇪🇸,25,medium,No,Amazon Technologies Inc.,2353
