Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
37.187.109.70:10111,HTTP,France,FR,🇫🇷,0,low,No,OVH SAS,5207,Yes,94.4,6/7
37.187.109.70:10111,HTTP,France,FR,🇫🇷,0,low,No,OVH SAS,12555,Not Checked,,
37.59.125.131:8888,HTTP,France,FR,🇫🇷,9,low,Yes,OVH SAS,3491,Not Checked,,
156.67.110.124:10808,HTTP,France,FR,🇫🇷,9,low,No,Contabo Asia Private Limited,3050,Not Checked,,
37.59.125.131:8888,HTTP,France,FR,🇫🇷,9,low,Yes,OVH SAS,2253,Not Checked,,
195.154.191.26:1090,HTTP,France,FR,🇫🇷,33,medium,No,Scaleway SAS,13234,Not Checked,,
195.154.191.26:1085,HTTP,France,FR,🇫🇷,33,medium,No,Scaleway SAS,13291,Not Checked,,
195.154.191.26:1086,HTTP,France,FR,🇫🇷,33,medium,No,Scaleway SAS,12591,Not Checked,,
195.154.191.26:1092,HTTP,France,FR,🇫🇷,33,medium,No,Scaleway SAS,18345,Not Checked,,
195.154.191.26:1093,HTTP,France,FR,🇫🇷,33,medium,No,Scaleway SAS,2625,Not Checked,,
217.182.195.221:30005,HTTP,France,FR,🇫🇷,41,medium,No,OVH SAS,5045,Not Checked,,
