Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.87.202.94:5566,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT MULTI GUNA SINERGI,6689,Yes,266.2,7/7
103.171.255.114:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Zona Kolektif Indonesia,6024,Yes,248.8,7/7
103.234.35.141:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT. EXABIT GROUP NETWORK,4895,Yes,250.5,7/7
103.166.158.193:1080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Timor Lintas Nusantara,5889,Yes,243.3,7/7
103.179.183.223:8089,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Internusa Duta Makmur,7489,Yes,252.4,7/7
103.180.123.27:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Indo Telemedia Solusi,5964,Yes,241.8,7/7
160.191.63.29:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Alsavanet Global Media,1721,Yes,239.8,7/7
103.106.216.231:8097,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT. ARTHA LINTAS DATA MANDIRI,8033,Yes,250.0,7/7
103.133.26.72:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT PHATRIA INTI PERSADA,4164,Yes,255.7,7/7
103.69.107.70:8181,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT. Berkat Dunia Digital Cikande,3874,Yes,238.5,7/7
49.0.27.167:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,SIMS Jabar Banten Medianet,4255,Yes,280.1,7/7
103.171.245.124:8090,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Data Arta Sedaya,6307,Yes,250.2,7/7
45.198.20.219:3125,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT IKHLAS CIPTA TEKNOLOGI,7828,Yes,241.1,7/7
103.171.255.59:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Zona Kolektif Indonesia,7392,Yes,262.6,7/7
103.156.75.246:8181,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Trika Global Media,5001,Yes,253.5,7/7
103.175.237.232:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Marva Global Telekomunikasi,3786,Yes,247.8,7/7
165.99.194.184:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Network Bumi Saridin,1912,Yes,247.6,7/7
202.47.185.180:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Putra Garsel Interkoneksi,2429,Yes,239.7,7/7
103.112.163.131:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,24AS,6417,Yes,284.1,7/7
8.215.3.250:443,HTTP,Indonesia,ID,🇮🇩,0,low,No,Alibaba Cloud (Singapore) Private Limited,8008,No,,0/7
149.129.255.179:4002,HTTP,Indonesia,ID,🇮🇩,0,low,No,Alibaba.com Singapore E-Commerce Private Limited,8001,No,,0/7
8.215.12.103:5060,HTTP,Indonesia,ID,🇮🇩,0,low,No,Alibaba Cloud (Singapore) Private Limited,8002,No,,0/7
149.129.226.9:2020,HTTP,Indonesia,ID,🇮🇩,0,low,No,Alibaba.com Singapore E-Commerce Private Limited,8003,No,,0/7
8.215.15.163:3129,HTTP,Indonesia,ID,🇮🇩,0,low,No,"Alibaba (US) Technology Co., Ltd.",7992,No,,0/7
103.39.75.123:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT. GOLDEN NETWORK NUSANTARA,8426,Not Checked,,
45.123.142.84:1111,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Anten Sarana Teknologi,10656,Not Checked,,
124.158.190.130:64999,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Jala Lintas Media,10162,Not Checked,,
103.227.243.73:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,NIDS,10659,Not Checked,,
103.125.36.120:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT. Eka Mas Republik,22392,Not Checked,,
156.230.176.245:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,My Republic Indonesia,11577,Not Checked,,
101.255.208.18:8090,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Remala Abadi,14372,Not Checked,,
103.133.25.247:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT PHATRIA INTI PERSADA,11977,Not Checked,,
103.195.65.178:7777,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Perwira Media Solusi,13204,Not Checked,,
160.19.19.170:3125,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Indo Telemedia Solusi,11402,Not Checked,,
113.192.48.37:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT.Global Media Data Prima,10366,Not Checked,,
160.19.18.23:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Indo Telemedia Solusi,10127,Not Checked,,
43.250.182.250:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Aris Media Globalindo,8954,Not Checked,,
182.23.59.202:2525,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Aplikanusa Lintasarta,24557,Not Checked,,
103.68.213.3:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Mars Data Telekomunikasi,13159,Not Checked,,
45.198.20.173:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT IKHLAS CIPTA TEKNOLOGI,14468,Not Checked,,
103.61.234.186:8180,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Kawan Lama Sejahtera,16900,Not Checked,,
103.183.13.94:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT iForte Global Internet,15889,Not Checked,,
103.123.64.234:3128,HTTP,Indonesia,ID,🇮🇩,0,low,No,CEPATNET,15478,Not Checked,,
38.183.146.122:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Ikhlas Cipta Teknologi,11719,Not Checked,,
103.133.61.239:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,TLINK,8960,Not Checked,,
103.189.250.47:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Pandawa Lima Java Network,14513,Not Checked,,
103.199.117.207:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Hepra Teknologi Indonesia,14117,Not Checked,,
103.131.18.82:8011,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Global Media Data Prima,9781,Not Checked,,
157.15.63.81:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,AMAN ISP Customer Malang,17723,Not Checked,,
117.121.204.9:8989,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Sekawan Global Komunika,8713,Not Checked,,
160.19.18.227:3125,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Indo Telemedia Solusi,8109,Not Checked,,
210.87.93.41:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Indo Telemedia Solusi,19996,Not Checked,,
103.104.99.89:80,HTTP,Indonesia,ID,🇮🇩,0,low,No,Dinas Komunikasi DAN Informatika Kabupaten Sidoarjo,12350,Not Checked,,
103.177.11.107:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Nalendra Gigantara Media,8532,Not Checked,,
110.76.145.118:1111,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Pika Media Komunika,11461,Not Checked,,
38.46.214.177:8085,HTTP,Indonesia,ID,🇮🇩,0,low,Yes,PT. Usaha Adi Sanggoro,10013,Not Checked,,
157.10.97.43:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Lintas Jaringan Nusantara,16932,Not Checked,,
203.175.103.67:3125,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT. Mitra Kita Brilian,12046,Not Checked,,
103.104.99.29:80,HTTP,Indonesia,ID,🇮🇩,0,low,No,Dinas Komunikasi DAN Informatika Kabupaten Sidoarjo,13532,Not Checked,,
103.158.210.80:8082,HTTP,Indonesia,ID,🇮🇩,0,low,No,DIGITNET,8573,Not Checked,,
103.217.224.29:8089,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Nesta Indo Media,9330,Not Checked,,
103.180.123.183:3125,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Indo Telemedia Solusi,8861,Not Checked,,
103.180.123.111:2026,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Indo Telemedia Solusi,15445,Not Checked,,
103.68.214.164:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Media Grasi Internet,15624,Not Checked,,
103.182.189.250:8080,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT iForte Global Internet,13366,Not Checked,,
103.217.224.29:8089,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Nesta Indo Media,16572,Not Checked,,
103.172.42.37:1111,HTTP,Indonesia,ID,🇮🇩,0,low,No,PT Media Solusi Sukses,16267,Not Checked,,
