Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
34.246.183.20:18081,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2089
34.246.183.20:21254,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2453
34.246.183.20:17531,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1097
34.246.183.20:41034,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2206
34.246.183.20:23898,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1327
54.216.65.145:8084,HTTP,Ireland,IE,🇮🇪,6,low,No,"Amazon.com, Inc.",1981
108.131.152.118:52719,HTTP,Ireland,IE,🇮🇪,6,low,No,AT&T Corp.,4646
46.51.198.97:30001,HTTP,Ireland,IE,🇮🇪,6,low,No,"Amazon.com, Inc.",1609
3.249.217.54:1326,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1171
54.216.65.145:22532,HTTP,Ireland,IE,🇮🇪,6,low,No,"Amazon.com, Inc.",5080
54.194.162.228:25308,HTTP,Ireland,IE,🇮🇪,6,low,Yes,"Amazon.com, Inc.",4488
3.249.217.54:15685,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,5079
108.131.152.118:5735,HTTP,Ireland,IE,🇮🇪,6,low,No,AT&T Corp.,1817
108.131.152.118:43,HTTP,Ireland,IE,🇮🇪,6,low,No,AT&T Corp.,2772
34.246.183.20:9050,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1642
34.246.183.20:53281,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1610
34.246.183.20:33596,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1633
34.246.183.20:14478,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1640
34.246.183.20:19801,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1940
108.131.152.118:2996,HTTP,Ireland,IE,🇮🇪,6,low,No,AT&T Corp.,4532
3.250.220.74:6420,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,1322
54.194.162.228:17902,HTTP,Ireland,IE,🇮🇪,6,low,Yes,"Amazon.com, Inc.",2156
3.252.122.151:37743,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2953
54.216.65.145:12499,HTTP,Ireland,IE,🇮🇪,6,low,No,"Amazon.com, Inc.",1721
108.131.152.118:4153,HTTP,Ireland,IE,🇮🇪,6,low,No,AT&T Corp.,2615
54.194.162.228:3128,HTTP,Ireland,IE,🇮🇪,6,low,Yes,"Amazon.com, Inc.",1726
54.194.162.228:2855,HTTP,Ireland,IE,🇮🇪,6,low,Yes,"Amazon.com, Inc.",2124
34.246.183.20:14354,HTTP,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2165
54.216.65.145:28041,HTTP,Ireland,IE,🇮🇪,6,low,No,"Amazon.com, Inc.",4794
108.131.109.106:3131,HTTP,Ireland,IE,🇮🇪,8,low,No,AT&T Corp.,2838
108.131.109.106:26544,HTTP,Ireland,IE,🇮🇪,8,low,No,AT&T Corp.,1265
108.131.109.106:47792,HTTP,Ireland,IE,🇮🇪,8,low,No,AT&T Corp.,4699
108.131.109.106:45200,HTTP,Ireland,IE,🇮🇪,8,low,No,AT&T Corp.,2329
108.131.109.106:6666,HTTP,Ireland,IE,🇮🇪,8,low,No,AT&T Corp.,1631
5.83.244.250:8080,HTTP,Ireland,IE,🇮🇪,10,low,No,EURONA-BRISKNET,15302
