Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
51.16.4.39:54365,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",4500
51.17.154.141:38568,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",1526
51.16.4.39:1452,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",1325
51.17.154.141:46169,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",9056
51.17.154.141:32823,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",2104
51.17.154.141:55212,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",1490
51.16.4.39:22818,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",2373
51.16.4.39:43944,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",1330
51.17.84.111:38553,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",1264
51.17.130.167:8382,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",4309
51.17.184.91:48186,HTTP,Israel,IL,🇮🇱,0,low,No,"Amazon.com, Inc.",2366
34.165.141.4:8888,HTTP,Israel,IL,🇮🇱,2,low,No,Google LLC,4174
34.165.141.4:8888,HTTP,Israel,IL,🇮🇱,2,low,No,Google LLC,5364
51.85.44.149:50037,HTTP,Israel,IL,🇮🇱,3,low,No,"Amazon.com, Inc.",4402
