Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
178.92.72.165:8080,HTTP,India,IN,🇮🇳,0,low,No,IPXO,1890,Yes,219.7,8/8
178.92.72.54:8080,HTTP,India,IN,🇮🇳,0,low,No,IPXO,1826,Yes,217.4,8/8
65.0.119.173:8000,HTTP,India,IN,🇮🇳,0,low,No,Amazon.com,2598,No,,0/8
103.87.24.109:8080,HTTP,India,IN,🇮🇳,0,low,No,Falconet Internet Pvt. Ltd,13490,Not Checked,,
103.255.146.238:8080,HTTP,India,IN,🇮🇳,0,low,No,Pioneer Elabs Ltd,10735,Not Checked,,
161.248.176.2:8080,HTTP,India,IN,🇮🇳,0,low,No,SNA INTERNET PRIVATE LIMITED,17397,Not Checked,,
45.112.52.26:8080,HTTP,India,IN,🇮🇳,0,low,No,PRIMENET,13058,Not Checked,,
103.48.70.28:83,HTTP,India,IN,🇮🇳,0,low,No,Country Online Services PVT LTD,10573,Not Checked,,
103.48.71.34:84,HTTP,India,IN,🇮🇳,0,low,No,Country Online Services PVT LTD,19934,Not Checked,,
103.112.212.249:83,HTTP,India,IN,🇮🇳,0,low,No,ALL Connect Network Services Private Limited,23214,Not Checked,,
117.236.124.166:3128,HTTP,India,IN,🇮🇳,2,low,Yes,BSNL Internet,1759,Not Checked,,
117.236.124.166:3128,HTTP,India,IN,🇮🇳,2,low,Yes,BSNL Internet,1822,Not Checked,,
