Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
46.249.124.244:1390,HTTP,Iran,IR,🇮🇷,0,low,Yes,Didehban Net Company,6767,Yes,35.6,8/8
85.133.250.27:80,HTTP,Iran,IR,🇮🇷,0,low,No,Pars Abr Toseeh Ertebatat LTD,2212,Yes,4.5,8/8
85.133.250.27:80,HTTP,Iran,IR,🇮🇷,0,low,No,Pars Abr Toseeh Ertebatat LTD,2141,Yes,4.5,8/8
94.183.6.226:9090,HTTP,Iran,IR,🇮🇷,0,low,No,Aria Shatel PJSC,5984,Yes,29.3,8/8
109.72.198.3:8080,HTTP,Iran,IR,🇮🇷,0,low,No,KOL IP,6031,Yes,30.7,8/8
79.127.30.250:8080,HTTP,Iran,IR,🇮🇷,0,low,No,Asiatech Data Transmission company,10826,Not Checked,,
217.11.23.106:8080,HTTP,Iran,IR,🇮🇷,0,low,No,AFRANET Co,12862,Not Checked,,
185.109.244.69:8080,HTTP,Iran,IR,🇮🇷,0,low,No,Asiatech Data Transmission company,16602,Not Checked,,
194.31.108.109:2080,HTTP,Iran,IR,🇮🇷,0,low,No,Avaye Segal Net Co. PJS,9375,Not Checked,,
87.107.5.19:8585,HTTP,Iran,IR,🇮🇷,0,low,Yes,Mobin Arvand Infrastructure Company LTD,8427,Not Checked,,
185.112.35.184:3128,HTTP,Iran,IR,🇮🇷,0,low,No,ASIATECH-DC,11898,Not Checked,,
185.172.212.233:8080,HTTP,Iran,IR,🇮🇷,0,low,No,"Lesun communication furtherance engineers Co, Ltd.",12751,Not Checked,,
