Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
93.187.25.12:58080,HTTP,Italy,IT,🇮🇹,0,low,No,Consorzio Terrecablate,13538
79.59.124.55:8088,HTTP,Italy,IT,🇮🇹,0,low,No,INTERBUSINES,9895
16.22.93.23:8609,HTTP,Italy,IT,🇮🇹,0,low,No,"Amazon.com, Inc.",3065
15.161.59.54:50,HTTP,Italy,IT,🇮🇹,3,low,No,"Amazon.com, Inc.",2649
15.161.59.54:45742,HTTP,Italy,IT,🇮🇹,3,low,No,"Amazon.com, Inc.",1425
15.161.59.54:21,HTTP,Italy,IT,🇮🇹,3,low,No,"Amazon.com, Inc.",2439
35.152.37.123:10086,HTTP,Italy,IT,🇮🇹,3,low,No,"Amazon.com, Inc.",2009
35.152.37.123:5001,HTTP,Italy,IT,🇮🇹,3,low,No,"Amazon.com, Inc.",1993
15.160.116.45:18081,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,1569
15.160.116.45:5777,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,4930
15.160.116.45:5516,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,2218
15.160.116.45:13815,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,2082
15.160.116.45:3128,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,2002
15.160.116.45:25901,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,1970
15.160.116.45:37239,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,2222
15.160.116.45:3714,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,1962
15.160.132.166:9254,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,1390
15.160.116.17:80,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,3094
15.160.132.166:38100,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,4245
15.160.16.72:3809,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,7363
15.160.116.45:58672,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,1990
15.160.67.218:1121,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,2412
15.160.145.162:1994,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,2384
15.160.132.166:51963,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,1938
15.160.135.192:3128,HTTP,Italy,IT,🇮🇹,18,low,No,Amazon Technologies Inc,1769
