Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
8.221.141.88:9992,HTTP,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",7799,No,,0/7
8.221.139.222:4002,HTTP,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",7837,No,,0/7
8.221.141.88:80,HTTP,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",7819,No,,0/7
8.221.141.88:9036,HTTP,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",7804,No,,0/7
47.91.29.151:194,HTTP,Japan,JP,🇯🇵,0,low,No,Alibaba.com LLC,7802,No,,0/7
47.91.29.151:4002,HTTP,Japan,JP,🇯🇵,0,low,No,Alibaba.com LLC,7832,No,,0/7
8.221.138.111:5060,HTTP,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",10065,No,,0/7
54.238.38.227:8080,HTTP,Japan,JP,🇯🇵,1,low,No,Amazon Technologies Inc.,1874,Not Checked,,
54.238.38.227:8080,HTTP,Japan,JP,🇯🇵,1,low,No,Amazon Technologies Inc.,1871,Not Checked,,
140.238.32.108:3128,HTTP,Japan,JP,🇯🇵,5,low,No,Oracle Corporation,6889,Not Checked,,
140.238.32.108:3128,HTTP,Japan,JP,🇯🇵,5,low,No,Oracle Corporation,9166,Not Checked,,
209.182.234.151:40000,HTTP,Japan,JP,🇯🇵,67,high,No,"HIVELOCITY, Inc.",9004,Not Checked,,
