Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
185.240.48.133:3128,HTTP,Kenya,KE,🇰🇪,0,low,No,Servercore Africa Ltd,2375,Yes,208.8,8/8
102.204.14.2:8080,HTTP,Kenya,KE,🇰🇪,0,low,No,Skysurf Limited,9740,Not Checked,,
185.240.48.133:3128,HTTP,Kenya,KE,🇰🇪,0,low,No,Servercore Africa Ltd,12392,Not Checked,,
102.209.18.96:8080,HTTP,Kenya,KE,🇰🇪,1,low,No,Vennet Solutions Limited,9776,Not Checked,,
102.209.18.248:8080,HTTP,Kenya,KE,🇰🇪,1,low,No,Vennet Solutions Limited,5178,Not Checked,,
102.68.76.247:5566,HTTP,Kenya,KE,🇰🇪,1,low,No,Unwired Communications Ltd,4247,Not Checked,,
102.0.25.36:8080,HTTP,Kenya,KE,🇰🇪,3,low,No,Airtel KE Mobile & Fixed Internet,18441,Not Checked,,
102.0.28.78:8083,HTTP,Kenya,KE,🇰🇪,3,low,No,Airtel KE Mobile & Fixed Internet,10843,Not Checked,,
102.207.191.161:8081,HTTP,Kenya,KE,🇰🇪,4,low,No,Avitech Solutions LTD,6536,Not Checked,,
197.248.22.110:8105,HTTP,Kenya,KE,🇰🇪,6,low,No,Safaricom Limited,16667,Not Checked,,
102.211.145.31:8080,HTTP,Kenya,KE,🇰🇪,6,low,No,Unwired Communications Ltd,12678,Not Checked,,
102.216.85.18:8080,HTTP,Kenya,KE,🇰🇪,12,low,No,Surf Net Solutions Limited,11996,Not Checked,,
