Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
8.213.134.213:20002,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",7887,No,,0/8
8.213.134.213:89,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",7767,No,,0/8
8.213.156.191:8080,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",7737,No,,0/8
8.220.204.215:9098,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",7761,No,,0/8
8.220.204.215:9080,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",7761,No,,0/8
15.164.225.200:48293,HTTP,South Korea,KR,🇰🇷,0,low,No,Amazon Technologies Inc.,1779,No,,0/8
15.164.225.200:3333,HTTP,South Korea,KR,🇰🇷,0,low,No,Amazon Technologies Inc.,1733,No,,0/8
8.220.205.172:9080,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",9793,Not Checked,,
8.220.204.92:81,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",10964,Not Checked,,
8.220.204.92:1081,HTTP,South Korea,KR,🇰🇷,0,low,No,"Alibaba (US) Technology Co., Ltd.",10904,Not Checked,,
47.80.60.84:3128,HTTP,South Korea,KR,🇰🇷,0,low,Yes,Alibaba.com LLC,14133,Not Checked,,
1.231.81.166:3128,HTTP,South Korea,KR,🇰🇷,2,low,No,SK Broadband Co Ltd,1622,Not Checked,,
1.231.81.166:3128,HTTP,South Korea,KR,🇰🇷,2,low,No,SK Broadband Co Ltd,2631,Not Checked,,
175.194.197.34:3128,HTTP,South Korea,KR,🇰🇷,5,low,No,Korea Telecom,7001,Not Checked,,
