Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
187.251.130.143:80,HTTP,Mexico,MX,🇲🇽,0,low,No,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",4774,Yes,221.2,8/8
189.51.168.165:999,HTTP,Mexico,MX,🇲🇽,0,low,No,Comunicación por Fibra SA de CV,4689,Yes,238.0,8/8
187.251.224.167:80,HTTP,Mexico,MX,🇲🇽,0,low,No,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",6658,Yes,225.7,8/8
154.27.196.185:999,HTTP,Mexico,MX,🇲🇽,0,low,No,Cogent Communications,3957,Yes,257.2,8/8
38.210.179.33:999,HTTP,Mexico,MX,🇲🇽,0,low,No,Jair Lozano / Intercom Internet,7983,Yes,227.5,8/8
45.7.64.8:999,HTTP,Mexico,MX,🇲🇽,0,low,No,Maysnet SA De CV,4559,Yes,231.8,7/8
78.14.19.3:3714,HTTP,Mexico,MX,🇲🇽,0,low,No,Amazon.com,7749,No,,0/8
78.12.25.241:22615,HTTP,Mexico,MX,🇲🇽,0,low,No,Amazon.com,773,Timeout,,
38.49.159.54:999,HTTP,Mexico,MX,🇲🇽,0,low,No,IENTC S de RL de CV,11820,Not Checked,,
38.194.253.83:999,HTTP,Mexico,MX,🇲🇽,0,low,No,IENTC S de RL de CV,9096,Not Checked,,
200.188.112.146:999,HTTP,Mexico,MX,🇲🇽,0,low,No,"Alestra, S. de R.L. de C.V.",14836,Not Checked,,
38.252.145.13:999,HTTP,Mexico,MX,🇲🇽,0,low,No,Osbaldo Tovar Campero,16484,Not Checked,,
204.157.104.16:999,HTTP,Mexico,MX,🇲🇽,0,low,No,Wistarip S De RL De CV,12772,Not Checked,,
200.188.112.145:999,HTTP,Mexico,MX,🇲🇽,0,low,No,"Alestra, S. de R.L. de C.V.",14992,Not Checked,,
153.51.241.50:999,HTTP,Mexico,MX,🇲🇽,0,low,No,Javier Tamayo Garcia,12123,Not Checked,,
187.190.114.57:999,HTTP,Mexico,MX,🇲🇽,0,low,No,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",10269,Not Checked,,
103.88.234.239:40002,HTTP,Mexico,MX,🇲🇽,48,medium,No,Latitude.sh,971,Not Checked,,
