Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
56.68.116.64:21002,HTTP,Malaysia,MY,🇲🇾,0,low,No,"Amazon.com, Inc.",2257,No,,0/8
56.68.116.64:37317,HTTP,Malaysia,MY,🇲🇾,0,low,No,"Amazon.com, Inc.",3353,No,,0/8
43.216.197.62:17626,HTTP,Malaysia,MY,🇲🇾,0,low,No,"Amazon.com, Inc.",5220,No,,0/8
47.250.11.111:80,HTTP,Malaysia,MY,🇲🇾,0,low,No,Alibaba Cloud LLC,8184,Not Checked,,
47.250.11.111:5060,HTTP,Malaysia,MY,🇲🇾,0,low,No,Alibaba Cloud LLC,8182,Not Checked,,
47.250.177.202:8081,HTTP,Malaysia,MY,🇲🇾,0,low,Yes,"Alibaba (US) Technology Co., Ltd.",8194,Not Checked,,
47.250.177.202:9080,HTTP,Malaysia,MY,🇲🇾,0,low,Yes,"Alibaba (US) Technology Co., Ltd.",8188,Not Checked,,
47.250.159.65:9098,HTTP,Malaysia,MY,🇲🇾,0,low,No,"Alibaba (US) Technology Co., Ltd.",8176,Not Checked,,
47.250.155.254:8085,HTTP,Malaysia,MY,🇲🇾,0,low,No,"Alibaba (US) Technology Co., Ltd.",8187,Not Checked,,
47.250.155.254:8004,HTTP,Malaysia,MY,🇲🇾,0,low,No,"Alibaba (US) Technology Co., Ltd.",8193,Not Checked,,
47.250.51.110:31281,HTTP,Malaysia,MY,🇲🇾,0,low,Yes,Alibaba Cloud LLC,8195,Not Checked,,
