Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
38.183.183.114:999,HTTP,Peru,PE,🇵🇪,0,low,No,Forza Bussines S.A.C,3507,Yes,256.6,8/8
190.223.41.250:999,HTTP,Peru,PE,🇵🇪,0,low,No,America Movil Peru S.A.C.,2362,Yes,278.7,7/8
38.252.217.32:999,HTTP,Peru,PE,🇵🇪,0,low,No,Cogent Communications,13290,Not Checked,,
38.158.83.65:999,HTTP,Peru,PE,🇵🇪,0,low,No,Fiberred SAC,7243,Not Checked,,
38.252.215.110:999,HTTP,Peru,PE,🇵🇪,0,low,No,Cogent Communications,13992,Not Checked,,
190.216.163.198:999,HTTP,Peru,PE,🇵🇪,0,low,No,Level 3 Peru S.A,15191,Not Checked,,
181.66.252.65:999,HTTP,Peru,PE,🇵🇪,0,low,No,Telefonica del Peru S.A.A.,9237,Not Checked,,
201.230.15.57:999,HTTP,Peru,PE,🇵🇪,0,low,No,Telefonica del Peru,12428,Not Checked,,
38.158.83.241:999,HTTP,Peru,PE,🇵🇪,0,low,No,Fiberred SAC,7100,Not Checked,,
200.215.229.3:999,HTTP,Peru,PE,🇵🇪,0,low,No,Gpon Networks S.A.C.,8156,Not Checked,,
