Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.25.220.42:8084,HTTP,Philippines,PH,🇵🇭,0,low,No,Imjwanklik Internet Communication Services,5608,Yes,268.9,8/8
119.92.252.190:8082,HTTP,Philippines,PH,🇵🇭,0,low,No,Philippine Long Distance Telephone Co.,4524,Yes,307.2,8/8
126.209.105.226:5050,HTTP,Philippines,PH,🇵🇭,0,low,No,Infinivan Incorporated,6242,Yes,293.4,8/8
61.245.9.172:5050,HTTP,Philippines,PH,🇵🇭,0,low,No,Infinivan Incorporated,4234,Yes,294.5,8/8
126.209.110.96:8087,HTTP,Philippines,PH,🇵🇭,0,low,No,Infinivan Incorporated,6430,Yes,295.2,8/8
160.187.221.78:5050,HTTP,Philippines,PH,🇵🇭,0,low,No,Imtech Solution and Data Providers,3189,Yes,286.5,8/8
126.209.13.13:8087,HTTP,Philippines,PH,🇵🇭,0,low,No,Infinivan Incorporated,3947,Yes,290.9,8/8
8.212.165.164:808,HTTP,Philippines,PH,🇵🇭,0,low,Yes,"Alibaba (US) Technology Co., Ltd.",8257,Not Checked,,
126.209.105.226:5050,HTTP,Philippines,PH,🇵🇭,0,low,No,Infinivan Incorporated,10394,Not Checked,,
203.177.139.13:8082,HTTP,Philippines,PH,🇵🇭,0,low,No,SUPERCAT,17894,Not Checked,,
8.220.141.8:8123,HTTP,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",8686,Not Checked,,
126.209.2.2:8081,HTTP,Philippines,PH,🇵🇭,0,low,No,Infinivan Incorporated,9173,Not Checked,,
8.212.151.166:8008,HTTP,Philippines,PH,🇵🇭,0,low,Yes,"Alibaba (US) Technology Co., Ltd.",8248,Not Checked,,
8.212.168.170:1081,HTTP,Philippines,PH,🇵🇭,0,low,Yes,"Alibaba (US) Technology Co., Ltd.",8271,Not Checked,,
8.220.136.174:6379,HTTP,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",8198,Not Checked,,
161.49.219.212:8082,HTTP,Philippines,PH,🇵🇭,2,low,No,Converge Information and Communications Technology Solutions,3915,Not Checked,,
180.191.234.194:5050,HTTP,Philippines,PH,🇵🇭,3,low,No,Globe Telecom,11674,Not Checked,,
120.28.189.133:8100,HTTP,Philippines,PH,🇵🇭,3,low,No,Globe Telecom,2300,Not Checked,,
58.69.208.243:8081,HTTP,Philippines,PH,🇵🇭,3,low,No,Philippine Long Distance Telephone Co.,6351,Not Checked,,
112.201.226.37:5050,HTTP,Philippines,PH,🇵🇭,3,low,No,Philippine Long Distance Telephone Co.,1958,Not Checked,,
180.191.22.153:8081,HTTP,Philippines,PH,🇵🇭,3,low,No,Globe Telecom,4900,Not Checked,,
49.146.232.16:9999,HTTP,Philippines,PH,🇵🇭,3,low,No,Philippine Long Distance Telephone Co.,9758,Not Checked,,
120.28.189.133:8100,HTTP,Philippines,PH,🇵🇭,3,low,No,Globe Telecom,2732,Not Checked,,
