Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
111.119.162.248:10927,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4881,Yes,284.3,8/8
111.119.162.248:10901,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,5427,Yes,284.3,8/8
111.119.162.248:10908,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,6130,Yes,284.3,8/8
111.119.162.248:10913,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,5854,Yes,284.3,8/8
111.119.162.248:10918,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,6016,Yes,284.3,8/8
111.119.162.248:10931,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,5874,Yes,284.3,8/8
111.119.162.248:10925,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,6236,Yes,284.3,8/8
111.119.162.248:11014,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4452,Yes,284.3,8/8
111.119.162.248:10919,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4980,Yes,284.3,8/8
111.119.162.248:10902,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4916,Yes,284.3,8/8
111.119.162.248:10930,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4039,Yes,284.3,8/8
111.119.162.248:10930,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4739,Yes,284.3,8/8
111.119.162.248:10926,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,6727,Yes,284.3,8/8
111.119.162.248:10915,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4448,Yes,284.3,8/8
111.119.162.248:10924,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,7568,Not Checked,,
202.59.75.4:8080,HTTP,Pakistan,PK,🇵🇰,0,low,No,NEXLINX,9644,Not Checked,,
111.119.162.248:10931,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,12824,Not Checked,,
111.119.162.248:10921,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,9417,Not Checked,,
111.119.162.248:10923,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,8017,Not Checked,,
103.253.18.6:8080,HTTP,Pakistan,PK,🇵🇰,0,low,No,Orbit Internet Service Provider Pvt Ltd,13067,Not Checked,,
111.119.162.248:10900,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,8126,Not Checked,,
111.119.162.248:10903,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,10355,Not Checked,,
111.119.162.248:10925,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,8533,Not Checked,,
111.119.162.248:10923,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,8087,Not Checked,,
111.119.162.248:10927,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,10434,Not Checked,,
202.59.75.6:8080,HTTP,Pakistan,PK,🇵🇰,0,low,No,NEXLINX,9020,Not Checked,,
111.119.162.248:10926,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,8085,Not Checked,,
111.119.162.248:10906,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,10728,Not Checked,,
111.119.162.248:10903,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,11273,Not Checked,,
111.119.162.248:11014,HTTP,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,10721,Not Checked,,
