Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
91.218.244.153:8989,HTTP,Russia,RU,🇷🇺,0,low,No,Hostkey B.V.,7152,Yes,87.0,8/8
176.118.196.3:8080,HTTP,Russia,RU,🇷🇺,0,low,No,Svinin Mihail Yurievich,3440,Yes,128.8,8/8
2.56.178.88:808,HTTP,Russia,RU,🇷🇺,0,low,No,UFO Hosting LLC,2690,Yes,88.3,8/8
5.129.254.129:8888,HTTP,Russia,RU,🇷🇺,0,low,No,"JSC ""TIMEWEB""",1489,Yes,89.3,8/8
5.129.254.129:8888,HTTP,Russia,RU,🇷🇺,0,low,No,"JSC ""TIMEWEB""",1484,Yes,90.2,8/8
5.129.254.70:8888,HTTP,Russia,RU,🇷🇺,0,low,No,"JSC ""TIMEWEB""",1543,Yes,80.7,8/8
5.129.254.51:8888,HTTP,Russia,RU,🇷🇺,0,low,No,"JSC ""TIMEWEB""",1542,Yes,83.6,8/8
5.129.254.5:8888,HTTP,Russia,RU,🇷🇺,0,low,No,"JSC ""TIMEWEB""",1520,Yes,83.5,8/8
195.190.107.62:3389,HTTP,Russia,RU,🇷🇺,0,low,No,"PJSC ""Vimpelcom""",3767,Yes,89.2,8/8
89.17.35.213:8080,HTTP,Russia,RU,🇷🇺,0,low,No,Rusphone OOO,4151,Yes,85.8,8/8
5.42.111.165:10808,HTTP,Russia,RU,🇷🇺,0,low,No,"JSC ""TIMEWEB""",5436,Yes,78.6,8/8
5.128.189.112:10808,HTTP,Russia,RU,🇷🇺,0,low,No,Novotelecom Ltd,2420,No,,0/8
5.128.189.112:10808,HTTP,Russia,RU,🇷🇺,0,low,No,Novotelecom Ltd,3030,No,,0/8
5.166.12.63:4444,HTTP,Russia,RU,🇷🇺,0,low,No,"CJSC ""ER-Telecom Holding"" Yaroslavl' branch",1698,No,,0/8
5.166.12.63:4444,HTTP,Russia,RU,🇷🇺,0,low,No,"CJSC ""ER-Telecom Holding"" Yaroslavl' branch",1733,No,,0/8
188.246.186.54:8080,HTTP,Russia,RU,🇷🇺,0,low,No,OOO WestCall Ltd,13375,Not Checked,,
176.115.146.232:8080,HTTP,Russia,RU,🇷🇺,0,low,No,Link Telecom NN Ltd,8219,Not Checked,,
5.42.111.165:10808,HTTP,Russia,RU,🇷🇺,0,low,No,"JSC ""TIMEWEB""",12964,Not Checked,,
89.17.35.213:8080,HTTP,Russia,RU,🇷🇺,0,low,No,Rusphone OOO,11420,Not Checked,,
