Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
45.155.250.230:8080,HTTP,Sweden,SE,🇸🇪,0,low,No,GleSYS AB,17566
13.60.181.61:43609,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",1581
13.60.181.61:8689,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",2059
13.60.163.108:4195,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",1064
13.60.181.61:5001,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",3974
51.20.254.126:3128,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",2752
13.60.163.230:22974,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",991
13.60.163.230:8182,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",1115
51.20.254.126:4241,HTTP,Sweden,SE,🇸🇪,3,low,No,"Amazon.com, Inc.",2064
13.53.139.178:52070,HTTP,Sweden,SE,🇸🇪,4,low,No,Amazon Technologies Inc.,8011
13.51.196.44:8079,HTTP,Sweden,SE,🇸🇪,4,low,No,Amazon Technologies Inc.,2075
13.53.139.178:9443,HTTP,Sweden,SE,🇸🇪,4,low,No,Amazon Technologies Inc.,6218
13.49.41.94:8851,HTTP,Sweden,SE,🇸🇪,4,low,No,Amazon Technologies Inc.,1421
