Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
195.123.190.37:8585,HTTP,Syria,SY,🇸🇾,0,low,No,Abdul Rahman Mustafa trading as Alfateh Company for Communications,1829,Yes,63.1,8/8
89.43.132.219:8080,HTTP,Syria,SY,🇸🇾,0,low,No,High Speed For Internet Services L.L.C,1738,Yes,138.3,8/8
89.43.133.165:8080,HTTP,Syria,SY,🇸🇾,0,low,No,High Speed For Internet Services L.L.C,19672,Not Checked,,
89.43.133.156:8080,HTTP,Syria,SY,🇸🇾,0,low,No,High Speed For Internet Services L.L.C,6181,Not Checked,,
89.43.135.42:8080,HTTP,Syria,SY,🇸🇾,0,low,No,High Speed For Internet Services L.L.C,6164,Not Checked,,
89.43.133.165:8080,HTTP,Syria,SY,🇸🇾,0,low,No,High Speed For Internet Services L.L.C,14111,Not Checked,,
89.43.134.34:8080,HTTP,Syria,SY,🇸🇾,0,low,No,High Speed For Internet Services L.L.C,11327,Not Checked,,
193.43.140.220:7890,HTTP,Syria,SY,🇸🇾,0,low,No,Syrian Telecom,10850,Not Checked,,
193.43.149.73:8080,HTTP,Syria,SY,🇸🇾,0,low,No,Syrian Telecom,6003,Not Checked,,
89.43.133.102:8080,HTTP,Syria,SY,🇸🇾,0,low,No,High Speed For Internet Services L.L.C,14088,Not Checked,,
217.142.24.106:8085,HTTP,Syria,SY,🇸🇾,12,low,No,Space Exploration Technologies Corporation,12202,Not Checked,,
