Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
47.81.56.193:8888,HTTP,Thailand,TH,🇹🇭,0,low,No,Alibaba.com LLC,2138,Yes,258.6,7/8
8.213.222.157:8119,HTTP,Thailand,TH,🇹🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",10958,Not Checked,,
8.213.222.247:8443,HTTP,Thailand,TH,🇹🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",11136,Not Checked,,
8.213.222.247:8008,HTTP,Thailand,TH,🇹🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",12156,Not Checked,,
8.213.222.247:5060,HTTP,Thailand,TH,🇹🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",13050,Not Checked,,
8.213.215.187:9080,HTTP,Thailand,TH,🇹🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",9903,Not Checked,,
8.213.197.208:100,HTTP,Thailand,TH,🇹🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",8303,Not Checked,,
203.150.128.130:8080,HTTP,Thailand,TH,🇹🇭,0,low,No,Internet Thailand Company Ltd,15834,Not Checked,,
124.121.5.189:8080,HTTP,Thailand,TH,🇹🇭,0,low,No,True Internet Corporation CO. Ltd.,20401,Not Checked,,
171.4.176.16:8080,HTTP,Thailand,TH,🇹🇭,0,low,No,TRIPLETNET,9335,Not Checked,,
125.26.165.245:8080,HTTP,Thailand,TH,🇹🇭,1,low,No,TOT Public Company Limited,7952,Not Checked,,
184.82.139.28:8081,HTTP,Thailand,TH,🇹🇭,3,low,No,AIS-Fibre,2173,Not Checked,,
184.82.163.105:8080,HTTP,Thailand,TH,🇹🇭,3,low,No,AIS-Fibre,14803,Not Checked,,
184.82.170.190:8080,HTTP,Thailand,TH,🇹🇭,3,low,No,AIS-Fibre,9266,Not Checked,,
49.48.92.49:8080,HTTP,Thailand,TH,🇹🇭,5,low,No,Triple T Broadband Public Company Limited,2202,Not Checked,,
124.121.183.238:8080,HTTP,Thailand,TH,🇹🇭,14,low,No,TRUE,12794,Not Checked,,
