Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
190.97.236.128:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Viginet C.A,1181,Yes,252.3,7/7
38.51.207.104:8080,HTTP,Venezuela,VE,🇻🇪,0,low,No,Tecnoven Services C.A,7017,Yes,229.2,7/7
190.97.236.129:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Viginet C.A,1190,Yes,251.4,7/7
154.59.56.78:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Cogent Communications,10431,Yes,245.3,7/7
190.97.229.118:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Viginet C.A,5927,Yes,252.5,7/7
190.97.236.129:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Viginet C.A,980,Yes,251.4,7/7
190.97.241.106:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Viginet C.A,4887,Yes,247.2,7/7
190.97.236.128:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Viginet C.A,902,Yes,252.3,7/7
154.59.56.78:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Cogent Communications,10085,Yes,245.3,7/7
38.172.160.16:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,"RED SERVITEL, CA",7802,Yes,266.5,7/7
201.71.2.27:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,"INVERSIONES FAROCA, C.A.",4899,Yes,218.9,3/7
201.71.2.27:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,"INVERSIONES FAROCA, C.A.",8133,Yes,218.9,3/7
201.71.2.25:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,"INVERSIONES FAROCA, C.A.",8546,Yes,219.5,2/7
38.41.0.62:11201,HTTP,Venezuela,VE,🇻🇪,0,low,No,MDS TELECOM C.A.,15385,Not Checked,,
154.59.56.74:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Cogent Communications,17772,Not Checked,,
38.172.184.134:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,"RED SERVITEL, CA",13768,Not Checked,,
190.97.231.0:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Viginet C.A,12794,Not Checked,,
45.230.170.30:999,HTTP,Venezuela,VE,🇻🇪,0,low,No,Soluciones DCN Network C.A,20597,Not Checked,,
