Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
203.205.49.2:10179,HTTP,Vietnam,VN,🇻🇳,0,low,No,CMC Telecom Infrastructure Company,2666,Yes,270.6,7/8
203.205.49.2:10101,HTTP,Vietnam,VN,🇻🇳,0,low,No,CMC Telecom Infrastructure Company,3697,Yes,270.6,7/8
203.205.49.2:10097,HTTP,Vietnam,VN,🇻🇳,0,low,No,CMC Telecom Infrastructure Company,5796,Yes,272.8,7/8
203.205.49.2:10192,HTTP,Vietnam,VN,🇻🇳,0,low,No,CMC Telecom Infrastructure Company,4803,Yes,272.8,7/8
203.205.49.2:10029,HTTP,Vietnam,VN,🇻🇳,0,low,No,CMC Telecom Infrastructure Company,1652,Yes,287.1,5/8
163.181.207.216:9999,HTTP,Vietnam,VN,🇻🇳,0,low,No,"Zhejiang Taobao Network Co., Ltd",2000,Yes,281.4,4/8
103.102.131.30:3128,HTTP,Vietnam,VN,🇻🇳,0,low,No,VGP Joint Stock Company,2875,Yes,289.8,2/8
103.102.131.30:3128,HTTP,Vietnam,VN,🇻🇳,0,low,No,VGP Joint Stock Company,2443,Yes,289.8,2/8
163.181.207.170:9999,HTTP,Vietnam,VN,🇻🇳,0,low,No,"Zhejiang Taobao Network Co., Ltd",2058,Yes,279.9,2/8
163.181.207.167:9999,HTTP,Vietnam,VN,🇻🇳,0,low,No,"Zhejiang Taobao Network Co., Ltd",2031,Yes,280.9,2/8
43.109.48.180:9999,HTTP,Vietnam,VN,🇻🇳,0,low,No,"Zhejiang Taobao Network Co., Ltd",2032,Yes,278.5,1/8
163.181.207.169:9999,HTTP,Vietnam,VN,🇻🇳,0,low,No,"Zhejiang Taobao Network Co., Ltd",2053,Yes,261.4,1/8
210.211.113.33:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,2713,No,,0/8
14.225.2.98:808,HTTP,Vietnam,VN,🇻🇳,0,low,No,Vietnam Posts and Telecommunications Group,3151,No,,0/8
210.211.113.37:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,2509,No,,0/8
210.211.113.36:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,4440,No,,0/8
210.211.113.35:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,4280,No,,0/8
14.225.2.98:808,HTTP,Vietnam,VN,🇻🇳,0,low,No,Vietnam Posts and Telecommunications Group,3089,No,,0/8
210.211.113.34:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,3270,No,,0/8
210.211.113.35:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,5906,Not Checked,,
110.172.28.217:3128,HTTP,Vietnam,VN,🇻🇳,0,low,No,CONTABO,6189,Not Checked,,
113.161.93.6:8080,HTTP,Vietnam,VN,🇻🇳,0,low,No,VietNam Post and Telecom Corporation,10028,Not Checked,,
14.161.87.244:2001,HTTP,Vietnam,VN,🇻🇳,0,low,No,VNPT,9410,Not Checked,,
203.205.49.2:10023,HTTP,Vietnam,VN,🇻🇳,0,low,No,CMC Telecom Infrastructure Company,8916,Not Checked,,
210.211.113.37:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,6065,Not Checked,,
14.161.87.244:2001,HTTP,Vietnam,VN,🇻🇳,0,low,No,VNPT,7352,Not Checked,,
113.160.37.152:53281,HTTP,Vietnam,VN,🇻🇳,0,low,No,VietNam Post and Telecom Corporation,18233,Not Checked,,
210.211.113.36:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,8691,Not Checked,,
210.211.113.34:80,HTTP,Vietnam,VN,🇻🇳,0,low,No,VTDC,7046,Not Checked,,
14.185.228.161:8080,HTTP,Vietnam,VN,🇻🇳,0,low,No,VNPT,8365,Not Checked,,
118.69.182.184:8082,HTTP,Vietnam,VN,🇻🇳,3,low,No,Vietnam Internet Network Information Center,16259,Not Checked,,
1.53.218.192:8080,HTTP,Vietnam,VN,🇻🇳,4,low,No,FPT Telecom Company,8961,Not Checked,,
118.70.13.38:41857,HTTP,Vietnam,VN,🇻🇳,4,low,No,FPT Telecom Company,5994,Not Checked,,
1.53.218.192:8080,HTTP,Vietnam,VN,🇻🇳,4,low,No,FPT Telecom Company,1940,Not Checked,,
116.100.193.198:8080,HTTP,Vietnam,VN,🇻🇳,8,low,No,Viettel Group,7479,Not Checked,,
