Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
105.22.37.218:8080,HTTP,South Africa,ZA,🇿🇦,0,low,No,SEACOM Limited Networks,4943,Yes,256.6,8/8
102.164.218.215:8080,HTTP,South Africa,ZA,🇿🇦,0,low,No,Jenny Internet cc,2691,No,,0/8
196.251.213.192:8081,HTTP,South Africa,ZA,🇿🇦,0,low,No,Info-Gro (PTY) Ltd,9390,Not Checked,,
102.164.207.160:8080,HTTP,South Africa,ZA,🇿🇦,0,low,No,Jenny Internet cc,9847,Not Checked,,
102.206.118.204:8088,HTTP,South Africa,ZA,🇿🇦,0,low,No,Cloud Hosting,11000,Not Checked,,
105.22.37.218:8080,HTTP,South Africa,ZA,🇿🇦,0,low,No,SEACOM Limited Networks,16588,Not Checked,,
102.218.41.98:8082,HTTP,South Africa,ZA,🇿🇦,0,low,No,IMVULA ITECHNOLOGIES (PTY) LTD,14645,Not Checked,,
102.141.177.61:8080,HTTP,South Africa,ZA,🇿🇦,1,low,No,Level,3911,Not Checked,,
102.66.6.56:9999,HTTP,South Africa,ZA,🇿🇦,1,low,No,Herotel,12388,Not Checked,,
102.39.133.233:8080,HTTP,South Africa,ZA,🇿🇦,2,low,No,Vox Telecommunications (Pty) Limited,7873,Not Checked,,
169.255.78.190:8865,HTTP,South Africa,ZA,🇿🇦,2,low,No,HERO TELECOMS (PTY) LTD,13030,Not Checked,,
