Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
4.198.140.211:443,HTTP_TLS,Australia,AU,🇦🇺,0,low,No,Microsoft Corporation,8351,Not Checked,,
203.31.65.32:443,HTTP_TLS,Australia,AU,🇦🇺,0,low,No,Hosted Network Pty Ltd,7408,Not Checked,,
4.198.140.211:443,HTTP_TLS,Australia,AU,🇦🇺,0,low,No,Microsoft Corporation,7207,Not Checked,,
203.31.65.32:443,HTTP_TLS,Australia,AU,🇦🇺,0,low,No,Hosted Network Pty Ltd,8407,Not Checked,,
159.13.44.228:443,HTTP_TLS,Australia,AU,🇦🇺,2,low,No,Oracle Corporation,8779,Not Checked,,
159.13.44.228:443,HTTP_TLS,Australia,AU,🇦🇺,2,low,No,Oracle Corporation,11525,Not Checked,,
140.238.205.29:443,HTTP_TLS,Australia,AU,🇦🇺,5,low,No,Oracle Corporation,2831,Not Checked,,
140.238.205.29:443,HTTP_TLS,Australia,AU,🇦🇺,5,low,No,Oracle Corporation,2404,Not Checked,,
103.62.50.130:443,HTTP_TLS,Australia,AU,🇦🇺,8,low,Yes,GSL Networks Pty LTD,2828,Not Checked,,
103.62.50.130:9443,HTTP_TLS,Australia,AU,🇦🇺,8,low,Yes,GSL Networks Pty LTD,2817,Not Checked,,
103.62.50.130:443,HTTP_TLS,Australia,AU,🇦🇺,8,low,Yes,GSL Networks Pty LTD,3431,Not Checked,,
103.62.50.130:9443,HTTP_TLS,Australia,AU,🇦🇺,8,low,Yes,GSL Networks Pty LTD,3618,Not Checked,,
103.108.94.162:443,HTTP_TLS,Australia,AU,🇦🇺,23,medium,Yes,5G NETWORK OPERATIONS PTY LTD,2541,Not Checked,,
103.108.94.162:9443,HTTP_TLS,Australia,AU,🇦🇺,23,medium,Yes,5G NETWORK OPERATIONS PTY LTD,2466,Not Checked,,
103.108.94.162:9443,HTTP_TLS,Australia,AU,🇦🇺,23,medium,Yes,5G NETWORK OPERATIONS PTY LTD,3084,Not Checked,,
103.108.94.162:443,HTTP_TLS,Australia,AU,🇦🇺,23,medium,Yes,5G NETWORK OPERATIONS PTY LTD,2958,Not Checked,,
51.161.152.170:443,HTTP_TLS,Australia,AU,🇦🇺,24,medium,No,OVH SAS,9022,Not Checked,,
51.161.152.170:443,HTTP_TLS,Australia,AU,🇦🇺,24,medium,No,OVH SAS,5218,Not Checked,,
103.77.232.74:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,Yes,Intergrid Group Pty Ltd,5047,Not Checked,,
103.77.232.74:9443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,Yes,Intergrid Group Pty Ltd,4903,Not Checked,,
209.38.89.114:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",5552,Not Checked,,
209.38.19.229:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",5350,Not Checked,,
134.199.161.93:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",9259,Not Checked,,
209.38.19.186:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",4814,Not Checked,,
209.38.82.52:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",5668,Not Checked,,
209.38.89.114:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",4300,Not Checked,,
209.38.19.229:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",5625,Not Checked,,
134.199.161.93:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",5079,Not Checked,,
209.38.82.52:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",7413,Not Checked,,
209.38.19.186:443,HTTP_TLS,Australia,AU,🇦🇺,51,medium,No,"DigitalOcean, LLC",7598,Not Checked,,
103.107.197.146:9443,HTTP_TLS,Australia,AU,🇦🇺,63,high,Yes,GSL Networks Pty LTD,5320,Not Checked,,
103.107.197.146:9443,HTTP_TLS,Australia,AU,🇦🇺,63,high,Yes,GSL Networks Pty LTD,6681,Not Checked,,
