Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
94.155.48.4:443,HTTP_TLS,Bulgaria,BG,🇧🇬,0,low,No,ITD Network,2612,Yes,83.7,8/8
46.10.214.92:443,HTTP_TLS,Bulgaria,BG,🇧🇬,0,low,No,Vivacom Bulgaria EAD,2899,Not Checked,,
94.155.48.4:443,HTTP_TLS,Bulgaria,BG,🇧🇬,0,low,No,ITD Network,3446,Not Checked,,
46.10.214.92:443,HTTP_TLS,Bulgaria,BG,🇧🇬,0,low,No,Vivacom Bulgaria EAD,3658,Not Checked,,
150.241.139.238:9443,HTTP_TLS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,2349,Not Checked,,
150.241.139.238:9443,HTTP_TLS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,2415,Not Checked,,
150.241.139.210:9443,HTTP_TLS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,2730,Not Checked,,
150.241.139.210:9443,HTTP_TLS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,2709,Not Checked,,
109.204.88.17:9443,HTTP_TLS,Bulgaria,BG,🇧🇬,57,medium,Yes,Datacamp Limited,2977,Not Checked,,
109.204.88.17:443,HTTP_TLS,Bulgaria,BG,🇧🇬,57,medium,Yes,Datacamp Limited,3583,Not Checked,,
