Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
213.207.130.34:443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,EPIC Ltd,2551,Yes,140.3,8/8
213.207.130.34:9443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,EPIC Ltd,3283,Yes,139.1,8/8
213.207.132.2:9443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,EPIC Ltd,2451,Yes,138.9,8/8
213.207.132.2:443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,EPIC Ltd,2530,Yes,138.9,8/8
213.207.132.2:9443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,EPIC Ltd,2583,Yes,138.9,8/8
213.207.132.2:443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,EPIC Ltd,2451,Yes,138.9,8/8
46.199.75.105:443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,CYTANET,2436,Yes,131.2,8/8
46.199.75.105:9443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,CYTANET,2469,Yes,131.2,8/8
46.199.75.105:9443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,CYTANET,2894,Yes,131.2,8/8
46.199.75.105:443,HTTP_TLS,Cyprus,CY,🇨🇾,0,low,Yes,CYTANET,2975,Yes,131.2,8/8
