Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
149.12.210.39:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Cogent Communications,2916,Yes,84.7,7/7
149.12.210.39:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Cogent Communications,2760,Yes,85.6,7/7
31.172.173.58:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Sarl Ard-com,1663,Yes,90.2,7/7
31.172.173.58:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Sarl Ard-com,1593,Yes,88.5,6/7
193.49.168.97:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,2621,No,,0/7
194.254.206.88:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,2932,No,,0/7
193.49.168.97:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,2830,No,,0/7
194.254.206.88:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,2521,No,,0/7
195.200.166.126:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Pacwan Network,4213,Not Checked,,
164.160.68.42:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,7350,Not Checked,,
89.234.183.82:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Groupe PulseHeberg,4888,Not Checked,,
178.237.108.214:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Eolas - Business & Decision Group - datacenter MA,6069,Not Checked,,
164.160.68.11:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,7537,Not Checked,,
217.108.6.203:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Orange S.A.,3634,Not Checked,,
164.160.68.21:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5681,Not Checked,,
164.160.68.44:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,6137,Not Checked,,
164.160.68.18:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5201,Not Checked,,
81.93.27.76:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Sewan Communications,3560,Not Checked,,
147.210.214.60:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,3211,Not Checked,,
147.210.214.62:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,3384,Not Checked,,
193.49.168.100:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,3267,Not Checked,,
91.193.106.60:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Axess OnLine SARL,3217,Not Checked,,
178.237.108.214:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Eolas - Business & Decision Group - datacenter MA,3371,Not Checked,,
164.160.68.11:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5210,Not Checked,,
164.160.68.42:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5946,Not Checked,,
195.200.166.126:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Pacwan Network,3864,Not Checked,,
89.234.183.82:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Groupe PulseHeberg,4210,Not Checked,,
217.108.6.203:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Orange S.A.,3732,Not Checked,,
164.160.68.21:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5496,Not Checked,,
164.160.68.44:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5921,Not Checked,,
164.160.68.18:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5983,Not Checked,,
81.93.27.76:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Sewan Communications,3447,Not Checked,,
147.210.214.62:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,3416,Not Checked,,
147.210.214.60:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,3454,Not Checked,,
193.49.168.100:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Renater,3055,Not Checked,,
91.193.106.60:443,HTTP_TLS,France,FR,🇫🇷,0,low,No,Axess OnLine SARL,3020,Not Checked,,
82.64.67.179:443,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,2943,Not Checked,,
82.64.46.151:8007,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,3265,Not Checked,,
82.64.67.179:443,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,3549,Not Checked,,
82.64.46.151:8007,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,3362,Not Checked,,
82.64.46.151:443,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,1811,Not Checked,,
82.64.46.151:8013,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,1762,Not Checked,,
82.64.46.151:443,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,2042,Not Checked,,
82.64.46.151:8013,HTTP_TLS,France,FR,🇫🇷,1,low,No,Proxad / Free SAS,1958,Not Checked,,
37.59.112.197:443,HTTP_TLS,France,FR,🇫🇷,20,medium,No,OVH SAS,5023,Not Checked,,
37.59.110.73:443,HTTP_TLS,France,FR,🇫🇷,20,medium,No,OVH SAS,4004,Not Checked,,
37.59.112.197:443,HTTP_TLS,France,FR,🇫🇷,20,medium,No,OVH SAS,3047,Not Checked,,
37.59.110.73:443,HTTP_TLS,France,FR,🇫🇷,20,medium,No,OVH SAS,3446,Not Checked,,
62.210.27.111:443,HTTP_TLS,France,FR,🇫🇷,33,medium,No,Scaleway SAS,3353,Not Checked,,
62.210.147.2:443,HTTP_TLS,France,FR,🇫🇷,33,medium,No,Scaleway SAS,3609,Not Checked,,
62.210.70.194:443,HTTP_TLS,France,FR,🇫🇷,33,medium,No,Scaleway SAS,2914,Not Checked,,
62.210.27.111:443,HTTP_TLS,France,FR,🇫🇷,33,medium,No,Scaleway SAS,3469,Not Checked,,
62.210.147.2:443,HTTP_TLS,France,FR,🇫🇷,33,medium,No,Scaleway SAS,3649,Not Checked,,
62.210.70.194:443,HTTP_TLS,France,FR,🇫🇷,33,medium,No,Scaleway SAS,2693,Not Checked,,
51.15.135.81:443,HTTP_TLS,France,FR,🇫🇷,34,medium,No,SCALEWAY,4203,Not Checked,,
51.15.135.81:443,HTTP_TLS,France,FR,🇫🇷,34,medium,No,SCALEWAY,3263,Not Checked,,
51.38.179.176:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,6013,Not Checked,,
164.132.229.148:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,2938,Not Checked,,
51.75.21.24:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,3292,Not Checked,,
178.32.221.95:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,3002,Not Checked,,
79.137.85.144:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,3012,Not Checked,,
51.38.179.176:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,3166,Not Checked,,
164.132.229.148:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,2779,Not Checked,,
51.75.21.24:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,2726,Not Checked,,
79.137.85.144:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,3479,Not Checked,,
178.32.221.95:443,HTTP_TLS,France,FR,🇫🇷,41,medium,No,OVH SAS,3992,Not Checked,,
146.70.253.194:9443,HTTP_TLS,France,FR,🇫🇷,54,medium,Yes,M247 Europe SRL,2562,Not Checked,,
146.70.253.194:9443,HTTP_TLS,France,FR,🇫🇷,54,medium,Yes,M247 Europe SRL,3334,Not Checked,,
37.120.158.194:443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,1543,Not Checked,,
37.120.158.226:443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,1576,Not Checked,,
37.120.158.226:9443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,1544,Not Checked,,
37.120.158.194:9443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,1664,Not Checked,,
37.120.158.194:443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,2260,Not Checked,,
37.120.158.226:9443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,2282,Not Checked,,
37.120.158.194:9443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,1985,Not Checked,,
37.120.158.226:443,HTTP_TLS,France,FR,🇫🇷,73,high,Yes,M247 Europe SRL,2388,Not Checked,,
