Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.87.68.50:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,5400,Not Checked,,
103.87.68.50:9443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,5653,Not Checked,,
2.27.116.2:9443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,6944,Not Checked,,
2.27.116.2:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,7516,Not Checked,,
103.87.68.50:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,8153,Not Checked,,
2.27.116.2:9443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,7661,Not Checked,,
103.87.68.50:9443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,7999,Not Checked,,
2.27.116.2:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,Yes,PT Atharva Telematika Persada,8761,Not Checked,,
202.61.105.82:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,No,PT.Indonesia Comnets Plus,7075,Not Checked,,
202.61.105.181:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,No,PT.Indonesia Comnets Plus,8574,Not Checked,,
116.254.118.180:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,No,PT Media Sarana Data,5967,Not Checked,,
202.61.105.82:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,No,PT.Indonesia Comnets Plus,7148,Not Checked,,
202.61.105.181:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,No,PT.Indonesia Comnets Plus,6463,Not Checked,,
116.254.118.180:443,HTTP_TLS,Indonesia,ID,🇮🇩,0,low,No,PT Media Sarana Data,11811,Not Checked,,
129.227.44.190:9443,HTTP_TLS,Indonesia,ID,🇮🇩,17,low,Yes,ZEN,3827,Not Checked,,
129.227.44.190:9443,HTTP_TLS,Indonesia,ID,🇮🇩,17,low,Yes,ZEN,4670,Not Checked,,
129.227.44.190:443,HTTP_TLS,Indonesia,ID,🇮🇩,17,low,Yes,ZEN,7310,Not Checked,,
129.227.44.190:443,HTTP_TLS,Indonesia,ID,🇮🇩,17,low,Yes,ZEN,3663,Not Checked,,
