Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
18.200.158.139:443,HTTP_TLS,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,3201,Not Checked,,
34.249.214.108:443,HTTP_TLS,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2716,Not Checked,,
18.200.158.139:443,HTTP_TLS,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2710,Not Checked,,
34.249.214.108:443,HTTP_TLS,Ireland,IE,🇮🇪,6,low,No,Amazon Technologies Inc.,2407,Not Checked,,
149.88.96.12:9443,HTTP_TLS,Ireland,IE,🇮🇪,44,medium,Yes,Datacamp Limited,1596,Not Checked,,
149.88.96.1:9443,HTTP_TLS,Ireland,IE,🇮🇪,44,medium,Yes,Datacamp Limited,1525,Not Checked,,
149.88.96.12:443,HTTP_TLS,Ireland,IE,🇮🇪,44,medium,Yes,Datacamp Limited,1924,Not Checked,,
149.88.96.12:9443,HTTP_TLS,Ireland,IE,🇮🇪,44,medium,Yes,Datacamp Limited,2912,Not Checked,,
149.88.96.12:443,HTTP_TLS,Ireland,IE,🇮🇪,44,medium,Yes,Datacamp Limited,3016,Not Checked,,
149.88.96.1:9443,HTTP_TLS,Ireland,IE,🇮🇪,44,medium,Yes,Datacamp Limited,3159,Not Checked,,
