Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
103.26.207.103:9443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Leapswitch Networks Private Limited,3175,Not Checked,,
165.231.253.242:9443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Orion Network Limited,2982,Not Checked,,
165.231.253.242:443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Orion Network Limited,3013,Not Checked,,
165.231.253.242:9443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Orion Network Limited,3083,Not Checked,,
165.231.253.242:443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Orion Network Limited,3226,Not Checked,,
203.193.169.112:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,"Software Technology Parks of India, Society",3376,Not Checked,,
52.140.7.131:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,2949,Not Checked,,
3.109.65.43:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,3270,Not Checked,,
103.104.73.130:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt. Ltd.,3943,Not Checked,,
5.178.98.214:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Serverwala Cloud Datacenters Private Limited,4327,Not Checked,,
210.89.42.108:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt. Ltd.,4140,Not Checked,,
4.240.88.77:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4362,Not Checked,,
163.223.186.141:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Devpeter Datacenter Private Limited,4245,Not Checked,,
14.99.141.239:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Tata Teleservices LTD - Tata Indicom - Cdma Division,3722,Not Checked,,
20.235.106.55:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4352,Not Checked,,
4.213.225.50:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4694,Not Checked,,
20.219.163.207:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4257,Not Checked,,
103.251.94.188:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt Ltd,4759,Not Checked,,
103.251.94.10:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt Ltd,4739,Not Checked,,
217.145.69.109:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Serverwala Cloud Datacenters Private Limited,3349,Not Checked,,
45.114.142.178:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,PSRHoldings,2940,Not Checked,,
182.156.203.41:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Ttsl-isp Division,2957,Not Checked,,
65.1.30.113:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon.com,3165,Not Checked,,
35.154.0.137:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,3304,Not Checked,,
3.110.20.129:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,3342,Not Checked,,
98.70.81.29:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,BellSouth.net Inc.,4033,Not Checked,,
202.162.232.76:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Tata Communications Limited,4081,Not Checked,,
65.0.68.234:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon.com,4645,Not Checked,,
3.111.253.23:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4241,Not Checked,,
13.232.233.63:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4983,Not Checked,,
13.235.75.49:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4351,Not Checked,,
15.206.173.208:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4964,Not Checked,,
52.66.121.218:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4872,Not Checked,,
4.188.2.252:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,3965,Not Checked,,
3.109.65.43:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,3975,Not Checked,,
52.140.7.131:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,3998,Not Checked,,
203.193.169.112:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,"Software Technology Parks of India, Society",4577,Not Checked,,
103.104.73.130:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt. Ltd.,4900,Not Checked,,
5.178.98.214:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Serverwala Cloud Datacenters Private Limited,3819,Not Checked,,
210.89.42.108:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt. Ltd.,4607,Not Checked,,
4.240.88.77:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,3733,Not Checked,,
163.223.186.141:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Devpeter Datacenter Private Limited,4016,Not Checked,,
14.99.141.239:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Tata Teleservices LTD - Tata Indicom - Cdma Division,4126,Not Checked,,
20.235.106.55:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4307,Not Checked,,
4.213.225.50:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4184,Not Checked,,
20.219.163.207:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4253,Not Checked,,
103.251.94.188:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt Ltd,5922,Not Checked,,
217.145.69.109:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Serverwala Cloud Datacenters Private Limited,3977,Not Checked,,
182.156.203.41:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Ttsl-isp Division,3777,Not Checked,,
35.154.0.137:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,3825,Not Checked,,
65.1.30.113:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon.com,3923,Not Checked,,
3.110.20.129:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4481,Not Checked,,
98.70.81.29:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,BellSouth.net Inc.,4472,Not Checked,,
202.162.232.76:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Tata Communications Limited,4560,Not Checked,,
13.232.233.63:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,3737,Not Checked,,
65.0.68.234:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon.com,4715,Not Checked,,
103.251.94.10:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Web Werks India Pvt Ltd,10189,Not Checked,,
13.235.75.49:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4302,Not Checked,,
3.111.253.23:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4586,Not Checked,,
15.206.173.208:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,4087,Not Checked,,
52.66.121.218:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc.,3940,Not Checked,,
103.239.146.98:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Fiberpipe communications pvt. ltd,3414,Not Checked,,
110.173.188.221:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,PRIMENET,3277,Not Checked,,
45.114.142.178:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,PSRHoldings,3355,Not Checked,,
49.50.72.246:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Cyfuture India Pvt. Ltd.,4331,Not Checked,,
103.239.146.98:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Fiberpipe communications pvt. ltd,4310,Not Checked,,
4.188.2.252:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Microsoft Corporation,4361,Not Checked,,
110.173.188.221:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,PRIMENET,3217,Not Checked,,
13.126.183.60:53380,HTTP_TLS,India,IN,🇮🇳,0,low,No,Amazon Technologies Inc,7435,Not Checked,,
49.50.72.246:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Cyfuture India Pvt. Ltd.,3330,Not Checked,,
103.142.225.37:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Indian Institute Of Information Technology Allahabad,3490,Not Checked,,
103.26.207.94:9443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Leapswitch Networks Private Limited,3202,Not Checked,,
165.231.253.58:443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Orion Network Limited,2982,Not Checked,,
165.231.253.58:443,HTTP_TLS,India,IN,🇮🇳,0,low,Yes,Orion Network Limited,3053,Not Checked,,
103.142.225.37:443,HTTP_TLS,India,IN,🇮🇳,0,low,No,Indian Institute Of Information Technology Allahabad,6139,Not Checked,,
34.93.103.38:443,HTTP_TLS,India,IN,🇮🇳,2,low,No,Google LLC,3051,Not Checked,,
34.93.13.41:443,HTTP_TLS,India,IN,🇮🇳,2,low,No,Google LLC,3701,Not Checked,,
34.93.139.69:443,HTTP_TLS,India,IN,🇮🇳,2,low,No,Google LLC,3985,Not Checked,,
34.93.103.38:443,HTTP_TLS,India,IN,🇮🇳,2,low,No,Google LLC,4732,Not Checked,,
