Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
196.21.187.115:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,TENET,3975,No,,0/8
196.21.61.67:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,TENET,4472,No,,0/8
196.21.109.82:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,TENET,10826,Not Checked,,
196.21.60.44:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,TENET,8424,Not Checked,,
41.77.155.164:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,6007,Not Checked,,
45.220.173.35:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,6565,Not Checked,,
45.220.232.12:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,6603,Not Checked,,
196.21.109.82:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,TENET,9447,Not Checked,,
41.77.155.164:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,7403,Not Checked,,
45.220.232.12:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,7746,Not Checked,,
45.220.173.35:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,8321,Not Checked,,
196.21.61.67:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,TENET,5685,Not Checked,,
196.21.60.44:443,HTTP_TLS,South Africa,ZA,🇿🇦,0,low,No,TENET,5257,Not Checked,,
129.151.160.199:443,HTTP_TLS,South Africa,ZA,🇿🇦,2,low,No,Oracle Corporation,6940,Not Checked,,
129.151.160.199:443,HTTP_TLS,South Africa,ZA,🇿🇦,2,low,No,Oracle Corporation,7870,Not Checked,,
213.139.10.33:9443,HTTP_TLS,South Africa,ZA,🇿🇦,28,medium,Yes,Datacamp Limited,5266,Not Checked,,
108.181.120.26:443,HTTP_TLS,South Africa,ZA,🇿🇦,50,medium,Yes,Psychz Networks,5796,Not Checked,,
108.181.120.26:9443,HTTP_TLS,South Africa,ZA,🇿🇦,50,medium,Yes,Psychz Networks,6774,Not Checked,,
