Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
46.10.214.92:443,HTTPS,Bulgaria,BG,🇧🇬,0,low,No,Vivacom Bulgaria EAD,2596
94.155.48.4:443,HTTPS,Bulgaria,BG,🇧🇬,0,low,No,ITD Network,2070
169.150.237.1:9443,HTTPS,Bulgaria,BG,🇧🇬,42,medium,Yes,Datacamp Limited,2158
150.241.139.172:443,HTTPS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,2544
109.204.88.17:443,HTTPS,Bulgaria,BG,🇧🇬,57,medium,Yes,Datacamp Limited,2125
150.241.139.164:443,HTTPS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,4008
150.241.139.202:9443,HTTPS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,2186
150.241.139.238:9443,HTTPS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,2468
150.241.139.102:9443,HTTPS,Bulgaria,BG,🇧🇬,57,medium,No,Datacamp Limited,4600
185.216.32.226:443,HTTPS,Bulgaria,BG,🇧🇬,61,high,Yes,M247 Europe SRL,2273
