Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
181.191.209.142:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,EVEO Serviços de Internet Ltda.,6429,Not Checked,,
66.70.143.16:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,OVH SAS,7254,Not Checked,,
200.210.103.211:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,Claro S.A,3839,Not Checked,,
200.133.218.122:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,Rede Nacional de Ensino e Pesquisa,4281,Not Checked,,
168.205.255.238:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,Gente Telecom do Brasil Eireli ME,3972,Not Checked,,
189.39.119.69:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,ALGAR TELECOM S/A,6008,Not Checked,,
66.70.143.16:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,OVH SAS,1888,Yes,174.7,7/7
181.191.209.142:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,EVEO Serviços de Internet Ltda.,3061,Not Checked,,
200.210.103.211:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,Claro S.A,3259,Not Checked,,
200.133.218.122:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,Rede Nacional de Ensino e Pesquisa,3670,Not Checked,,
168.205.255.238:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,Gente Telecom do Brasil Eireli ME,3915,Not Checked,,
189.39.119.69:443,HTTPS,Brazil,BR,🇧🇷,0,low,No,ALGAR TELECOM S/A,6104,Not Checked,,
134.65.238.25:3128,HTTPS,Brazil,BR,🇧🇷,2,low,No,Oracle Corporation,3481,Not Checked,,
129.151.38.112:443,HTTPS,Brazil,BR,🇧🇷,2,low,No,Oracle Corporation,4130,Not Checked,,
144.22.145.252:80,HTTPS,Brazil,BR,🇧🇷,2,low,No,Oracle Corporation,3864,Not Checked,,
134.65.238.25:3128,HTTPS,Brazil,BR,🇧🇷,2,low,No,Oracle Corporation,3417,Not Checked,,
129.151.38.112:443,HTTPS,Brazil,BR,🇧🇷,2,low,No,Oracle Corporation,3108,Not Checked,,
144.22.145.252:80,HTTPS,Brazil,BR,🇧🇷,2,low,No,Oracle Corporation,3229,Not Checked,,
168.138.159.191:443,HTTPS,Brazil,BR,🇧🇷,5,low,No,Oracle Corporation,5493,Not Checked,,
168.138.159.191:443,HTTPS,Brazil,BR,🇧🇷,5,low,No,Oracle Corporation,3248,Not Checked,,
54.207.141.34:443,HTTPS,Brazil,BR,🇧🇷,6,low,No,Amazon Technologies Inc.,3514,Not Checked,,
54.207.141.34:443,HTTPS,Brazil,BR,🇧🇷,6,low,No,Amazon Technologies Inc.,3425,Not Checked,,
189.50.88.34:443,HTTPS,Brazil,BR,🇧🇷,8,low,No,Rei das Tecnologias LTDA ME,3657,Not Checked,,
189.50.88.34:443,HTTPS,Brazil,BR,🇧🇷,8,low,No,Rei das Tecnologias LTDA ME,3847,Not Checked,,
104.234.224.139:8443,HTTPS,Brazil,BR,🇧🇷,50,medium,No,BB Host,4171,Not Checked,,
104.234.224.139:8443,HTTPS,Brazil,BR,🇧🇷,50,medium,No,BB Host,2539,Not Checked,,
