Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
212.243.240.120:443,HTTPS,Switzerland,CH,🇨🇭,0,low,No,Swisscom AG,4985,Not Checked,,
45.131.254.246:443,HTTPS,Switzerland,CH,🇨🇭,0,low,No,hosttech GmbH,3078,Not Checked,,
199.68.196.153:443,HTTPS,Switzerland,CH,🇨🇭,0,low,No,FORNEX,2835,Not Checked,,
212.243.240.120:443,HTTPS,Switzerland,CH,🇨🇭,0,low,No,Swisscom AG,3168,Not Checked,,
45.131.254.246:443,HTTPS,Switzerland,CH,🇨🇭,0,low,No,hosttech GmbH,2808,Not Checked,,
199.68.196.153:443,HTTPS,Switzerland,CH,🇨🇭,0,low,No,FORNEX,3310,Not Checked,,
84.72.72.153:443,HTTPS,Switzerland,CH,🇨🇭,2,low,No,UPC Schweiz GmbH,5259,Not Checked,,
84.72.72.153:443,HTTPS,Switzerland,CH,🇨🇭,2,low,No,UPC Schweiz GmbH,3490,Not Checked,,
169.150.197.162:9443,HTTPS,Switzerland,CH,🇨🇭,44,medium,Yes,Datacamp Limited,3117,Not Checked,,
169.150.197.162:9443,HTTPS,Switzerland,CH,🇨🇭,44,medium,Yes,Datacamp Limited,2921,Not Checked,,
