Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
213.214.134.50:443,HTTPS,Finland,FI,🇫🇮,0,low,No,Fujitsu Invia Finland IP-network,1547
163.5.153.163:8443,HTTPS,Finland,FI,🇫🇮,0,low,No,Inios Oy,1977
45.142.141.5:8443,HTTPS,Finland,FI,🇫🇮,0,low,No,Materialism s.r.l.,1799
35.228.73.198:443,HTTPS,Finland,FI,🇫🇮,2,low,No,Google LLC,2120
65.108.208.20:443,HTTPS,Finland,FI,🇫🇮,5,low,No,Hetzner Online GmbH,2316
65.109.179.56:8080,HTTPS,Finland,FI,🇫🇮,5,low,No,Hetzner Online GmbH,1795
46.62.140.224:443,HTTPS,Finland,FI,🇫🇮,5,low,No,Hetzner Online GmbH,1809
65.108.56.95:443,HTTPS,Finland,FI,🇫🇮,5,low,No,Hetzner Online GmbH,1584
65.108.56.95:8443,HTTPS,Finland,FI,🇫🇮,5,low,No,Hetzner Online GmbH,1598
157.180.98.221:443,HTTPS,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,1737
157.180.98.223:443,HTTPS,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,1781
157.180.98.225:443,HTTPS,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH,1851
166.0.9.64:9443,HTTPS,Finland,FI,🇫🇮,41,medium,No,Datacamp Limited,2197
