Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
178.237.108.214:443,HTTPS,France,FR,🇫🇷,0,low,No,Eolas - Business & Decision Group - datacenter MA,6168,Not Checked,,
164.160.68.42:443,HTTPS,France,FR,🇫🇷,0,low,No,Telco OI SAS,8517,Not Checked,,
89.234.183.82:443,HTTPS,France,FR,🇫🇷,0,low,No,Groupe PulseHeberg,6625,Not Checked,,
195.200.166.126:443,HTTPS,France,FR,🇫🇷,0,low,No,Pacwan Network,8367,Not Checked,,
217.108.6.203:443,HTTPS,France,FR,🇫🇷,0,low,No,Orange S.A.,5905,Not Checked,,
31.172.173.58:443,HTTPS,France,FR,🇫🇷,0,low,No,Sarl Ard-com,2956,Not Checked,,
164.160.68.11:443,HTTPS,France,FR,🇫🇷,0,low,No,Telco OI SAS,8959,Not Checked,,
149.12.210.39:443,HTTPS,France,FR,🇫🇷,0,low,No,Cogent Communications,3230,Not Checked,,
164.160.68.21:443,HTTPS,France,FR,🇫🇷,0,low,No,Telco OI SAS,6013,Not Checked,,
164.160.68.44:443,HTTPS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5270,Not Checked,,
164.160.68.18:443,HTTPS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5153,Not Checked,,
81.93.27.76:443,HTTPS,France,FR,🇫🇷,0,low,No,Sewan Communications,2754,Not Checked,,
147.210.214.62:443,HTTPS,France,FR,🇫🇷,0,low,No,Renater,3326,Not Checked,,
193.49.168.97:443,HTTPS,France,FR,🇫🇷,0,low,No,Renater,2802,Not Checked,,
193.49.168.100:443,HTTPS,France,FR,🇫🇷,0,low,No,Renater,2454,Not Checked,,
194.254.206.88:443,HTTPS,France,FR,🇫🇷,0,low,No,Renater,3403,Not Checked,,
178.237.108.214:443,HTTPS,France,FR,🇫🇷,0,low,No,Eolas - Business & Decision Group - datacenter MA,3637,Not Checked,,
164.160.68.42:443,HTTPS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5388,Not Checked,,
164.160.68.11:443,HTTPS,France,FR,🇫🇷,0,low,No,Telco OI SAS,5054,Not Checked,,
195.200.166.126:443,HTTPS,France,FR,🇫🇷,0,low,No,Pacwan Network,3227,Not Checked,,
