Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
93.63.43.131:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Fastweb SpA,8433,Not Checked,,
138.66.66.229:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3759,Not Checked,,
37.207.230.114:9443,HTTPS,Italy,IT,🇮🇹,0,low,No,Telecom Italia S.p.A,4094,Not Checked,,
138.66.65.52:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3830,Not Checked,,
138.66.66.225:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3665,Not Checked,,
5.158.70.34:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Orakom S.r.l.,3705,Not Checked,,
83.103.36.213:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Fastweb Networks,3175,Not Checked,,
138.66.66.136:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3655,Not Checked,,
2.228.224.4:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Fastweb Networks,4011,Not Checked,,
37.102.108.143:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Wind TRE S.P.A,3828,Not Checked,,
83.211.198.117:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Retelit Digital Services S.p.A.,5097,Not Checked,,
93.63.43.131:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Fastweb SpA,3081,Not Checked,,
37.207.230.114:9443,HTTPS,Italy,IT,🇮🇹,0,low,No,Telecom Italia S.p.A,3752,Not Checked,,
138.66.65.52:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3233,Not Checked,,
138.66.66.229:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3672,Not Checked,,
138.66.66.225:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3595,Not Checked,,
5.158.70.34:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Orakom S.r.l.,3578,Not Checked,,
138.66.66.136:443,HTTPS,Italy,IT,🇮🇹,0,low,No,InnovaPuglia SpA,3220,Not Checked,,
83.103.36.213:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Fastweb Networks,2785,Not Checked,,
2.228.224.4:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Fastweb Networks,3246,Not Checked,,
37.102.108.143:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Wind TRE S.P.A,3096,Not Checked,,
83.211.198.117:443,HTTPS,Italy,IT,🇮🇹,0,low,No,Retelit Digital Services S.p.A.,4726,Not Checked,,
188.219.81.243:443,HTTPS,Italy,IT,🇮🇹,2,low,No,Vodafone,5033,Not Checked,,
188.219.81.243:443,HTTPS,Italy,IT,🇮🇹,2,low,No,Vodafone,2465,Not Checked,,
15.160.108.18:443,HTTPS,Italy,IT,🇮🇹,8,low,No,Amazon Technologies Inc,3258,Not Checked,,
15.160.108.18:443,HTTPS,Italy,IT,🇮🇹,8,low,No,Amazon Technologies Inc,2960,Not Checked,,
149.102.237.44:9443,HTTPS,Italy,IT,🇮🇹,44,medium,Yes,Datacamp Limited,3131,Not Checked,,
149.102.237.44:9443,HTTPS,Italy,IT,🇮🇹,44,medium,Yes,Datacamp Limited,2982,Not Checked,,
