Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
133.167.87.173:443,HTTPS,Japan,JP,🇯🇵,0,low,No,SAKURA Internet Inc.,6449,Not Checked,,
133.242.152.27:443,HTTPS,Japan,JP,🇯🇵,0,low,No,SAKURA Internet Inc.,8046,Not Checked,,
160.16.226.26:443,HTTPS,Japan,JP,🇯🇵,0,low,No,SAKURA Internet Inc.,4132,Not Checked,,
153.126.214.29:443,HTTPS,Japan,JP,🇯🇵,0,low,No,SAKURA Internet Inc.,4748,Not Checked,,
160.16.144.120:443,HTTPS,Japan,JP,🇯🇵,0,low,No,SAKURA Internet Inc.,4430,Not Checked,,
210.236.6.162:443,HTTPS,Japan,JP,🇯🇵,0,low,No,CCCN,4127,Not Checked,,
210.236.6.167:443,HTTPS,Japan,JP,🇯🇵,0,low,No,CCCN,4173,Not Checked,,
210.236.6.165:443,HTTPS,Japan,JP,🇯🇵,0,low,No,CCCN,4102,Not Checked,,
210.236.6.168:443,HTTPS,Japan,JP,🇯🇵,0,low,No,CCCN,4491,Not Checked,,
210.236.6.164:443,HTTPS,Japan,JP,🇯🇵,0,low,No,CCCN,4538,Not Checked,,
8.216.57.38:443,HTTPS,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",3798,Not Checked,,
14.137.237.91:443,HTTPS,Japan,JP,🇯🇵,0,low,No,ALPHA-JP-SUB,3916,Not Checked,,
45.91.211.14:443,HTTPS,Japan,JP,🇯🇵,0,low,Yes,WorldStream B.V.,2623,Not Checked,,
103.127.242.229:7000,HTTPS,Japan,JP,🇯🇵,0,low,No,JT TELECOM INTERNATIONAL PTE.LTD.,5333,Not Checked,,
180.131.255.118:443,HTTPS,Japan,JP,🇯🇵,0,low,No,GLBB Japan KK,5782,Not Checked,,
133.18.200.207:343,HTTPS,Japan,JP,🇯🇵,0,low,No,KAGOYA JAPAN Inc.,3859,Not Checked,,
133.9.6.10:443,HTTPS,Japan,JP,🇯🇵,0,low,No,WASEDA University,4444,Not Checked,,
