Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
79.133.217.237:443,HTTPS,Poland,PL,🇵🇱,0,low,No,eTOP sp. z o.o.,2067
79.133.217.233:443,HTTPS,Poland,PL,🇵🇱,0,low,No,eTOP sp. z o.o.,2004
94.246.130.82:443,HTTPS,Poland,PL,🇵🇱,0,low,No,ART-COM Sp. z o.o. LIR,4602
213.241.124.228:443,HTTPS,Poland,PL,🇵🇱,0,low,No,NETIA SA,2337
94.246.130.82:5443,HTTPS,Poland,PL,🇵🇱,0,low,No,ART-COM Sp. z o.o. LIR,4118
79.133.217.236:443,HTTPS,Poland,PL,🇵🇱,0,low,No,eTOP sp. z o.o.,1988
185.35.199.212:5443,HTTPS,Poland,PL,🇵🇱,0,low,No,AVITO,2374
193.25.2.239:443,HTTPS,Poland,PL,🇵🇱,0,low,No,Gemini Internet,2285
185.96.121.243:9443,HTTPS,Poland,PL,🇵🇱,0,low,No,Gabriel Sulka trading as Firma Handlowo - Uslugowa KOMPEX,2470
80.72.39.35:443,HTTPS,Poland,PL,🇵🇱,0,low,No,eTOP Sp. z o.o.,1996
79.133.217.232:443,HTTPS,Poland,PL,🇵🇱,0,low,No,eTOP sp. z o.o.,2105
83.13.36.250:443,HTTPS,Poland,PL,🇵🇱,0,low,No,Orange Polska Spolka Akcyjna,2892
79.188.239.42:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,8717
79.188.239.45:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,8752
79.188.239.40:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,14056
79.188.239.47:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,14163
79.188.239.46:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,12654
79.188.239.41:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,12608
79.188.239.43:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,12626
79.188.239.44:8443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,12518
46.170.93.122:443,HTTPS,Poland,PL,🇵🇱,1,low,No,Orange Polska Spolka Akcyjna,6821
151.115.78.51:443,HTTPS,Poland,PL,🇵🇱,11,low,No,SCALEWAY,2773
146.70.85.162:9443,HTTPS,Poland,PL,🇵🇱,20,medium,Yes,M247 Europe Infra,2045
37.120.156.34:443,HTTPS,Poland,PL,🇵🇱,73,high,Yes,M247 Europe SRL,2116
37.120.156.18:9443,HTTPS,Poland,PL,🇵🇱,73,high,Yes,M247 Europe SRL,2079
