Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
47.81.15.95:8800,HTTPS,Thailand,TH,🇹🇭,0,low,No,Alibaba.com LLC,3724
150.95.26.146:7081,HTTPS,Thailand,TH,🇹🇭,0,low,No,GMO-Z.COM PTE. LTD.,3628
103.22.182.254:443,HTTPS,Thailand,TH,🇹🇭,0,low,Yes,Readyidc Company Limited,3153
103.58.150.11:443,HTTPS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",3143
103.58.150.11:9443,HTTPS,Thailand,TH,🇹🇭,0,low,Yes,"Dot Enterprise Co., Ltd.",3124
141.98.19.221:443,HTTPS,Thailand,TH,🇹🇭,0,low,Yes,"Siamdata Communication Co., ltd.",3149
141.98.19.221:9443,HTTPS,Thailand,TH,🇹🇭,0,low,Yes,"Siamdata Communication Co., ltd.",3130
147.50.224.36:443,HTTPS,Thailand,TH,🇹🇭,0,low,No,CS Loxinfo Public Company Limited,13703
103.40.138.14:443,HTTPS,Thailand,TH,🇹🇭,2,low,No,"United Information Highway Co., Ltd.",3254
43.208.134.144:46537,HTTPS,Thailand,TH,🇹🇭,3,low,No,"Amazon.com, Inc.",19336
