Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
196.21.109.82:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,TENET,6948,Not Checked,,
196.21.60.44:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,TENET,5307,Not Checked,,
41.77.155.164:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,4348,Not Checked,,
45.220.173.35:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,5054,Not Checked,,
45.220.232.12:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,4534,Not Checked,,
198.54.223.176:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,TENET (The UNINET Project),5432,Not Checked,,
196.21.109.82:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,TENET,6544,Not Checked,,
196.21.60.44:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,TENET,4645,Not Checked,,
45.220.232.12:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,4160,Not Checked,,
198.54.223.176:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,TENET (The UNINET Project),2983,Not Checked,,
45.220.173.35:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,4643,Not Checked,,
41.77.155.164:443,HTTPS,South Africa,ZA,🇿🇦,0,low,No,eNetworks (Pty) Ltd,4622,Not Checked,,
129.151.160.199:443,HTTPS,South Africa,ZA,🇿🇦,2,low,No,Oracle Corporation,4426,Not Checked,,
129.151.160.199:443,HTTPS,South Africa,ZA,🇿🇦,2,low,No,Oracle Corporation,4360,Not Checked,,
