Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
162.216.185.241:1084,SOCKS4,Canada,CA,🇨🇦,0,low,No,Lyttonnet,335,Yes,234.1,6/8
24.37.245.42:51056,SOCKS4,Canada,CA,🇨🇦,0,low,No,Le Groupe Videotron Ltee,4866,Not Checked,,
24.37.245.42:51056,SOCKS4,Canada,CA,🇨🇦,0,low,No,Le Groupe Videotron Ltee,8079,Not Checked,,
162.216.185.241:1084,SOCKS4,Canada,CA,🇨🇦,0,low,No,Lyttonnet,3441,Not Checked,,
142.112.52.229:8443,SOCKS4,Canada,CA,🇨🇦,0,low,No,Bell Canada,3767,Not Checked,,
142.112.52.229:8443,SOCKS4,Canada,CA,🇨🇦,0,low,No,Bell Canada,2734,Not Checked,,
45.73.0.118:5678,SOCKS4,Canada,CA,🇨🇦,2,low,No,Videotron Ltee,1886,Not Checked,,
45.73.0.118:5678,SOCKS4,Canada,CA,🇨🇦,2,low,No,Videotron Ltee,790,Not Checked,,
69.70.74.118:1337,SOCKS4,Canada,CA,🇨🇦,2,low,No,Videotron Ltee,2801,Not Checked,,
69.70.74.118:1337,SOCKS4,Canada,CA,🇨🇦,2,low,No,Videotron Ltee,4967,Not Checked,,
56.112.93.245:5555,SOCKS4,Canada,CA,🇨🇦,7,low,No,Amazon.com,268,Not Checked,,
