Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP
62.60.236.186:1080,SOCKS4,Finland,FI,🇫🇮,0,low,No,Aeza International LTD
185.230.190.195:1080,SOCKS4,Finland,FI,🇫🇮,0,low,No,Livi Hosting LTD
37.27.245.106:1080,SOCKS4,Finland,FI,🇫🇮,0,low,No,Hetzner Online GmbH
89.167.85.46:9050,SOCKS4,Finland,FI,🇫🇮,4,low,No,Hetzner Online GmbH
95.217.167.252:10808,SOCKS4,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH
65.108.216.128:9050,SOCKS4,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH
65.21.61.221:8080,SOCKS4,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH
95.216.170.155:9093,SOCKS4,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH
95.216.170.155:9091,SOCKS4,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH
95.217.167.252:10503,SOCKS4,Finland,FI,🇫🇮,6,low,No,Hetzner Online GmbH
132.243.23.194:8888,SOCKS4,Finland,FI,🇫🇮,12,low,No,First Server Limited
92.118.234.124:1080,SOCKS4,Finland,FI,🇫🇮,42,medium,Yes,WorkTitans B.V.
