Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
95.178.108.189:5678,SOCKS4,France,FR,🇫🇷,0,low,No,Eurofiber France SAS,1057
95.178.108.189:5678,SOCKS4,France,FR,🇫🇷,0,low,No,Eurofiber France SAS,987
185.178.185.100:1080,SOCKS4,France,FR,🇫🇷,0,low,No,Abeille Sarl,4061
15.237.108.20:54588,SOCKS4,France,FR,🇫🇷,2,low,No,Amazon Technologies Inc.,526
77.221.152.210:36219,SOCKS4,France,FR,🇫🇷,3,low,No,Aeza International LTD,8699
109.172.55.227:1082,SOCKS4,France,FR,🇫🇷,26,medium,No,Global Connectivity Solutions LLP,1855
109.172.55.177:1082,SOCKS4,France,FR,🇫🇷,26,medium,No,Global Connectivity Solutions LLP,837
45.95.233.128:1082,SOCKS4,France,FR,🇫🇷,34,medium,No,Global Connectivity Solutions LLP,4932
45.95.233.128:1082,SOCKS4,France,FR,🇫🇷,34,medium,No,Global Connectivity Solutions LLP,8042
51.15.253.45:8080,SOCKS4,France,FR,🇫🇷,35,medium,No,SCALEWAY,8761
51.15.253.45:8080,SOCKS4,France,FR,🇫🇷,35,medium,No,SCALEWAY,8854
