Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
194.31.108.109:2080,SOCKS4,Iran,IR,🇮🇷,0,low,No,Avaye Segal Net Co. PJS,1541,Not Checked,,
81.29.249.82:5071,SOCKS4,Iran,IR,🇮🇷,0,low,No,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,2113,Not Checked,,
78.38.67.210:3636,SOCKS4,Iran,IR,🇮🇷,0,low,No,Iran Telecommunication Company PJS,1679,Not Checked,,
78.38.67.210:3636,SOCKS4,Iran,IR,🇮🇷,0,low,No,Iran Telecommunication Company PJS,4838,Not Checked,,
81.29.249.82:5071,SOCKS4,Iran,IR,🇮🇷,0,low,No,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,1370,Not Checked,,
80.191.40.133:5678,SOCKS4,Iran,IR,🇮🇷,0,low,No,Telecommunication Company of Iran,2694,Not Checked,,
5.160.247.48:8443,SOCKS4,Iran,IR,🇮🇷,0,low,No,Respina Networks & Beyond PJSC,8957,Not Checked,,
5.160.103.246:8080,SOCKS4,Iran,IR,🇮🇷,0,low,Yes,Respina Networks & Beyond PJSC,1625,Not Checked,,
93.118.135.176:1080,SOCKS4,Iran,IR,🇮🇷,0,low,No,Iran Telecommunication Company PJS,2626,Not Checked,,
194.31.108.109:2080,SOCKS4,Iran,IR,🇮🇷,0,low,No,Avaye Segal Net Co. PJS,1524,Not Checked,,
217.219.162.114:5678,SOCKS4,Iran,IR,🇮🇷,0,low,No,Iran Telecommunication Company PJS,8607,Not Checked,,
85.133.250.27:80,SOCKS4,Iran,IR,🇮🇷,0,low,No,Pars Abr Toseeh Ertebatat LTD,3603,Not Checked,,
