Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
46.21.186.252:1080,SOCKS4,Italy,IT,🇮🇹,0,low,No,Planetel srl,1082,Yes,102.4,8/8
94.198.211.217:5678,SOCKS4,Italy,IT,🇮🇹,0,low,No,LAW,1110,Yes,114.3,8/8
46.21.186.252:1080,SOCKS4,Italy,IT,🇮🇹,0,low,No,Planetel srl,1094,Yes,104.2,8/8
84.247.236.86:48293,SOCKS4,Italy,IT,🇮🇹,0,low,No,Mynet S.R.L.,4377,Not Checked,,
91.192.25.37:80,SOCKS4,Italy,IT,🇮🇹,0,low,No,T&T Tecnologie e Telecomunicazioni Srl,2296,Not Checked,,
212.43.119.1:1080,SOCKS4,Italy,IT,🇮🇹,0,low,No,MICSO-WADSL,4336,Not Checked,,
185.195.129.116:4153,SOCKS4,Italy,IT,🇮🇹,0,low,No,Wicomm SRLS,5663,Not Checked,,
185.62.48.126:5678,SOCKS4,Italy,IT,🇮🇹,0,low,No,Elektronica Networks,6981,Not Checked,,
94.198.213.252:5678,SOCKS4,Italy,IT,🇮🇹,0,low,No,La Wireless,2131,Not Checked,,
109.70.206.178:5678,SOCKS4,Italy,IT,🇮🇹,0,low,No,LA Wireless Srl,6253,Not Checked,,
5.95.121.180:4153,SOCKS4,Italy,IT,🇮🇹,2,low,No,Vodafone,5988,Not Checked,,
