Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
43.163.219.10:20000,SOCKS4,Japan,JP,🇯🇵,0,low,No,Shenzhen Tencent Computer Systems Company Limited,1122,Yes,327.5,7/8
47.74.46.81:31433,SOCKS4,Japan,JP,🇯🇵,0,low,No,Alibaba Cloud LLC,4511,Not Checked,,
8.221.138.111:5060,SOCKS4,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",4472,Not Checked,,
8.221.139.222:6666,SOCKS4,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",4505,Not Checked,,
47.74.46.81:8047,SOCKS4,Japan,JP,🇯🇵,0,low,No,Alibaba Cloud LLC,5500,Not Checked,,
8.221.138.111:3128,SOCKS4,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",4481,Not Checked,,
47.74.46.81:3128,SOCKS4,Japan,JP,🇯🇵,0,low,No,Alibaba Cloud LLC,4633,Not Checked,,
8.221.138.111:8081,SOCKS4,Japan,JP,🇯🇵,0,low,No,"Alibaba (US) Technology Co., Ltd.",4476,Not Checked,,
47.91.29.151:80,SOCKS4,Japan,JP,🇯🇵,0,low,No,Alibaba.com LLC,8441,Not Checked,,
47.91.29.151:1311,SOCKS4,Japan,JP,🇯🇵,0,low,No,Alibaba.com LLC,6589,Not Checked,,
54.238.38.227:8080,SOCKS4,Japan,JP,🇯🇵,1,low,No,Amazon Technologies Inc.,644,Not Checked,,
108.61.160.231:1080,SOCKS4,Japan,JP,🇯🇵,37,medium,No,Choopa,11348,Not Checked,,
103.75.118.84:1080,SOCKS4,Japan,JP,🇯🇵,50,medium,No,BrainStorm Network,3519,Not Checked,,
