Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
196.1.182.130:1080,SOCKS4,Nigeria,NG,🇳🇬,0,low,No,eStream Networks,13477
197.156.240.66:5678,SOCKS4,Nigeria,NG,🇳🇬,0,low,No,Accelon,5344
196.1.182.130:1080,SOCKS4,Nigeria,NG,🇳🇬,0,low,No,eStream Networks,3039
197.156.240.66:5678,SOCKS4,Nigeria,NG,🇳🇬,0,low,No,Accelon,4366
154.113.17.107:5678,SOCKS4,Nigeria,NG,🇳🇬,0,low,No,Main one Cable Company Nigeria Limited,3851
154.113.172.58:5678,SOCKS4,Nigeria,NG,🇳🇬,47,medium,No,Main one Cable Company Nigeria Limited,2817
41.75.84.86:4153,SOCKS4,Nigeria,NG,🇳🇬,47,medium,No,Main one Cable Company Nigeria Limited,6972
154.113.167.70:5678,SOCKS4,Nigeria,NG,🇳🇬,47,medium,No,Main one Cable Company Nigeria Limited,1791
102.36.231.77:1080,SOCKS4,Nigeria,NG,🇳🇬,81,high,No,Timeless Network Services Ltd,5997
105.235.201.234:32639,SOCKS4,Nigeria,NG,🇳🇬,100,very_high,No,Information Connectivity Solutions Limited,4983
105.235.201.234:32639,SOCKS4,Nigeria,NG,🇳🇬,100,very_high,No,Information Connectivity Solutions Limited,2951
