Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
8.220.141.8:8123,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",4566,Not Checked,,
8.220.141.8:3129,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",6283,Not Checked,,
8.212.151.166:20000,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",4659,Not Checked,,
8.212.151.166:20000,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",4603,Not Checked,,
8.220.141.8:30001,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",6269,Not Checked,,
8.212.168.170:9080,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",6230,Not Checked,,
8.212.165.164:106,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",6289,Not Checked,,
8.220.136.174:8443,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",7366,Not Checked,,
8.212.151.166:8080,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",6903,Not Checked,,
8.212.168.170:20,SOCKS4,Philippines,PH,🇵🇭,0,low,No,"Alibaba (US) Technology Co., Ltd.",6254,Not Checked,,
161.49.100.131:1080,SOCKS4,Philippines,PH,🇵🇭,2,low,No,Converge Information and Communications Technology Solutions,1963,Not Checked,,
161.49.100.131:1080,SOCKS4,Philippines,PH,🇵🇭,2,low,No,Converge Information and Communications Technology Solutions,2447,Not Checked,,
180.191.22.50:4153,SOCKS4,Philippines,PH,🇵🇭,3,low,No,Globe Telecom,1523,Not Checked,,
180.191.22.50:4153,SOCKS4,Philippines,PH,🇵🇭,3,low,No,Globe Telecom,6626,Not Checked,,
119.93.123.229:4145,SOCKS4,Philippines,PH,🇵🇭,4,low,No,Philippine Long Distance Telephone Co.,4453,Not Checked,,
119.93.123.229:4145,SOCKS4,Philippines,PH,🇵🇭,4,low,No,Philippine Long Distance Telephone Co.,1380,Not Checked,,
124.105.40.93:1080,SOCKS4,Philippines,PH,🇵🇭,4,low,No,Philippine Long Distance Telephone Co.,1450,Not Checked,,
124.105.40.93:1080,SOCKS4,Philippines,PH,🇵🇭,4,low,No,Philippine Long Distance Telephone Co.,1464,Not Checked,,
