Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
125.209.110.83:1981,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Multinet 125-110/24,6082,Not Checked,,
58.65.167.165:4145,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Nayatel (Pvt) Ltd,3102,Not Checked,,
111.119.162.248:10930,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,2454,Not Checked,,
111.119.162.248:10921,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,3246,Not Checked,,
160.30.104.170:1080,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,S. B Link Network,1849,Not Checked,,
103.146.137.101:1081,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Galaxy Broadband (pvt.) Ltd.,3766,Not Checked,,
111.119.162.248:10908,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,13242,Not Checked,,
111.119.162.248:10926,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,1649,Not Checked,,
111.119.162.248:10910,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,5826,Not Checked,,
111.119.162.248:10928,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,3012,Not Checked,,
110.38.234.74:1080,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Wateen Telecom (Pvt.) Ltd,3046,Not Checked,,
111.119.162.248:10910,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,2825,Not Checked,,
111.119.162.248:10925,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,3971,Not Checked,,
103.146.137.157:1081,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Galaxy Broadband (pvt.) Ltd.,1721,Not Checked,,
111.119.162.248:10903,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,2849,Not Checked,,
111.119.162.248:10930,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,4609,Not Checked,,
111.119.162.248:10928,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,2238,Not Checked,,
111.119.162.248:10927,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,9191,Not Checked,,
111.119.162.248:10906,SOCKS4,Pakistan,PK,🇵🇰,0,low,No,Connect Communication,2370,Not Checked,,
