Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
91.150.189.122:60647,SOCKS4,Poland,PL,🇵🇱,0,low,No,Skyware Sp. z o.o.,1387,Not Checked,,
37.128.107.102:4145,SOCKS4,Poland,PL,🇵🇱,0,low,No,NETIA,3297,Not Checked,,
88.218.206.170:5432,SOCKS4,Poland,PL,🇵🇱,0,low,No,Skhron OU,3987,Not Checked,,
91.150.189.122:60647,SOCKS4,Poland,PL,🇵🇱,0,low,No,Skyware Sp. z o.o.,2176,Not Checked,,
88.220.133.87:4153,SOCKS4,Poland,PL,🇵🇱,0,low,No,Exatel S.A,3193,Not Checked,,
185.147.69.48:1080,SOCKS4,Poland,PL,🇵🇱,0,low,No,Prymas Inwestycje Spolka Z Ograniczona Odpowiedzialnoscia Spolka Komandytowa,6313,Not Checked,,
185.147.69.48:1080,SOCKS4,Poland,PL,🇵🇱,0,low,No,Prymas Inwestycje Spolka Z Ograniczona Odpowiedzialnoscia Spolka Komandytowa,2214,Not Checked,,
185.32.4.126:4153,SOCKS4,Poland,PL,🇵🇱,0,low,No,AS Consulting Sp. z o. o.,3224,Not Checked,,
185.32.4.126:4153,SOCKS4,Poland,PL,🇵🇱,0,low,No,AS Consulting Sp. z o. o.,6311,Not Checked,,
185.14.149.33:4145,SOCKS4,Poland,PL,🇵🇱,0,low,No,Enformatel Sp. z o.o.,1378,Not Checked,,
185.32.4.102:4153,SOCKS4,Poland,PL,🇵🇱,0,low,No,AS Consulting Sp. z o. o.,2180,Not Checked,,
185.14.149.33:4145,SOCKS4,Poland,PL,🇵🇱,0,low,No,Enformatel Sp. z o.o.,2230,Not Checked,,
31.42.2.113:5678,SOCKS4,Poland,PL,🇵🇱,0,low,No,MARCIN MALOLEPSZY @ALFANET,3267,Not Checked,,
31.42.2.113:5678,SOCKS4,Poland,PL,🇵🇱,0,low,No,MARCIN MALOLEPSZY @ALFANET,1200,Not Checked,,
57.128.231.218:1001,SOCKS4,Poland,PL,🇵🇱,39,medium,No,OVH SAS,1371,Not Checked,,
57.128.231.218:1004,SOCKS4,Poland,PL,🇵🇱,39,medium,No,OVH SAS,7215,Not Checked,,
57.128.231.218:1001,SOCKS4,Poland,PL,🇵🇱,39,medium,No,OVH SAS,3365,Not Checked,,
