Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
109.232.106.150:52435,SOCKS4,Russia,RU,🇷🇺,0,low,No,CJSC Thyphone Communications 106,1269,Yes,81.3,8/8
213.21.53.119:4153,SOCKS4,Russia,RU,🇷🇺,0,low,Yes,Global Network Management Inc,1168,Yes,90.9,8/8
213.21.53.119:4153,SOCKS4,Russia,RU,🇷🇺,0,low,Yes,Global Network Management Inc,1150,Yes,90.9,8/8
176.214.78.230:5678,SOCKS4,Russia,RU,🇷🇺,0,low,No,"CJSC ""ER-Telecom Holding"" Yaroslavl' branch",1190,Yes,84.2,8/8
195.133.197.14:1080,SOCKS4,Russia,RU,🇷🇺,0,low,No,JSC Mediasoft ekspert,1140,Yes,78.1,7/8
212.103.118.77:5678,SOCKS4,Russia,RU,🇷🇺,0,low,No,"CJSC ""ER-Telecom Holding"" Bryansk branch",1248,Yes,88.1,7/8
109.106.196.250:4145,SOCKS4,Russia,RU,🇷🇺,0,low,No,PJSC MegaFon,1298,Yes,96.5,7/8
37.193.125.68:1090,SOCKS4,Russia,RU,🇷🇺,0,low,No,Novotelecom Ltd,5510,Not Checked,,
46.8.104.176:1080,SOCKS4,Russia,RU,🇷🇺,0,low,No,Evro Telecom OOO,6295,Not Checked,,
95.46.105.163:4145,SOCKS4,Russia,RU,🇷🇺,0,low,No,Kompleks Media LLC,2455,Not Checked,,
212.220.13.98:4153,SOCKS4,Russia,RU,🇷🇺,0,low,No,Rostelecom networks,2829,Not Checked,,
85.237.62.189:3629,SOCKS4,Russia,RU,🇷🇺,0,low,No,PJSC Rostelecom,1336,Not Checked,,
46.8.60.34:1080,SOCKS4,Russia,RU,🇷🇺,0,low,No,"LLC ""AVANTA TELECOM""",1399,Not Checked,,
31.172.133.253:4153,SOCKS4,Russia,RU,🇷🇺,0,low,No,KMVtelecom Stavropol IP,5556,Not Checked,,
37.195.116.105:1080,SOCKS4,Russia,RU,🇷🇺,0,low,No,Novotelecom Ltd.,2456,Not Checked,,
109.232.106.150:52435,SOCKS4,Russia,RU,🇷🇺,0,low,No,CJSC Thyphone Communications 106,2353,Not Checked,,
88.87.79.18:3629,SOCKS4,Russia,RU,🇷🇺,0,low,No,"CJSC ""ER-Telecom Holding"" Volgograd branch",1322,Not Checked,,
188.127.224.164:2080,SOCKS4,Russia,RU,🇷🇺,0,low,No,LLC Smart Ape,5067,Not Checked,,
90.151.59.8:1080,SOCKS4,Russia,RU,🇷🇺,0,low,No,Yamalo-Nenetsk department,1694,Not Checked,,
91.223.224.238:48293,SOCKS4,Russia,RU,🇷🇺,0,low,No,LLC ATK Telecom,1322,Not Checked,,
185.216.18.138:44550,SOCKS4,Russia,RU,🇷🇺,0,low,Yes,Mega Tec LLC,2894,Not Checked,,
