Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms),Iran Reachable,Iran Latency (ms),Iran Nodes OK
176.236.37.132:1080,SOCKS4,Turkey,TR,🇹🇷,0,low,No,Superonline Iletisim Hizmetleri A.S.,1762,Not Checked,,
37.247.96.234:4153,SOCKS4,Turkey,TR,🇹🇷,0,low,No,DGN TEKNOLOJI,4659,Not Checked,,
188.132.249.66:1080,SOCKS4,Turkey,TR,🇹🇷,0,low,No,High Speed For Internet Services L.L.C,5865,Not Checked,,
176.236.37.132:1080,SOCKS4,Turkey,TR,🇹🇷,0,low,No,Superonline Iletisim Hizmetleri A.S.,3809,Not Checked,,
104.239.83.248:9056,SOCKS4,Turkey,TR,🇹🇷,0,low,No,Cafer Eser,4215,Not Checked,,
104.239.83.248:9056,SOCKS4,Turkey,TR,🇹🇷,0,low,No,Cafer Eser,2519,Not Checked,,
104.239.83.246:9050,SOCKS4,Turkey,TR,🇹🇷,0,low,No,Cafer Eser,8270,Not Checked,,
104.239.83.246:9059,SOCKS4,Turkey,TR,🇹🇷,0,low,No,Cafer Eser,13675,Not Checked,,
88.247.31.164:4153,SOCKS4,Turkey,TR,🇹🇷,1,low,No,Turk Telekomunikasyon A.S,4441,Not Checked,,
88.247.31.164:4153,SOCKS4,Turkey,TR,🇹🇷,1,low,No,Turk Telekomunikasyon A.S,7478,Not Checked,,
88.245.138.87:1080,SOCKS4,Turkey,TR,🇹🇷,1,low,No,Turk Telekomunikasyon A.S,1961,Not Checked,,
176.235.182.84:1080,SOCKS4,Turkey,TR,🇹🇷,2,low,No,Superonline Iletisim Hizmetleri A.S.,4807,Not Checked,,
147.45.66.116:1082,SOCKS4,Turkey,TR,🇹🇷,25,medium,No,Global Connectivity Solutions LLP,4400,Not Checked,,
